Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d
Serrería, 67;84;T;0;0;15;F;04/10/2023 22:05:06;"{""coordinates"": [-0.3351652508188024, 39.46729429030231], ""type"": ""Point""}";39.46729429030231, -0.3351652508188024
Paseo Neptuno 32-34;163;T;17;3;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3234012136184579, 39.46443727525528], ""type"": ""Point""}";39.46443727525528, -0.3234012136184579
Salamanca - Conde Altea;31;T;17;2;19;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3650283531086902, 39.467365304622646], ""type"": ""Point""}";39.467365304622646, -0.3650283531086902
Blasco Ibañez, 28 (F. Geografía e Historia);88;T;10;29;40;T;23/01/2024 17:44:30;"{""coordinates"": [-0.36114233248377353, 39.477512336096844], ""type"": ""Point""}";39.477512336096844, -0.36114233248377353
Músico Hipólito Martínez - Diógenes López Mecho;122;T;3;12;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3540663028794564, 39.48448535604776], ""type"": ""Point""}";39.48448535604776, -0.3540663028794564
Manuel Candela - Rodriguez de Cepeda;150;T;6;19;25;F;23/01/2024 17:44:30;"{""coordinates"": [-0.35060930364544307, 39.46772129856667], ""type"": ""Point""}";39.46772129856667, -0.35060930364544307
Plaza de los Fueros - Conde Trenor;36;T;0;25;25;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3754363798581042, 39.479072348860946], ""type"": ""Point""}";39.479072348860946, -0.3754363798581042
Plaza de Europa;54;T;15;4;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3526903171951741, 39.459778273617445], ""type"": ""Point""}";39.459778273617445, -0.3526903171951741
Blasco Ibañez 121;97;T;3;20;23;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3431322739648798, 39.47306831276613], ""type"": ""Point""}";39.47306831276613, -0.3431322739648798
C/Xàtiva 30-32;148;T;35;0;35;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3753782937388751, 39.46714522461298], ""type"": ""Point""}";39.46714522461298, -0.3753782937388751
Rio Segre - Rafael Company;236;T;4;11;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.38227839001583847, 39.49506640496422], ""type"": ""Point""}";39.49506640496422, -0.38227839001583847
Peris y Valero - Cuba;39;T;1;18;19;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3739313916673185, 39.457854277261184], ""type"": ""Point""}";39.457854277261184, -0.3739313916673185
Marino Blas de Lezo (estación Cabañal Adif);101;T;8;22;30;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3343612466069016, 39.47006829907817], ""type"": ""Point""}";39.47006829907817, -0.3343612466069016
Azagador de Alboraya - Dolores Marqués;124;T;12;13;25;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3619553259600363, 39.48850137319014], ""type"": ""Point""}";39.48850137319014, -0.3619553259600363
Av. Campanar (La Fe);146;T;11;15;26;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3909524281114989, 39.48511037548845], ""type"": ""Point""}";39.48511037548845, -0.3909524281114989
Fray Junípero Serra - Vall d'Uixó;211;T;2;13;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3977574716661004, 39.45872629171394], ""type"": ""Point""}";39.45872629171394, -0.3977574716661004
Hermanos Maristas - General Urrutia;45;T;15;0;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.36185535292343096, 39.45381925759081], ""type"": ""Point""}";39.45381925759081, -0.36185535292343096
Autopista del Saler - Puente Monteolivete;47;T;11;9;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.35541832880362817, 39.45651226440267], ""type"": ""Point""}";39.45651226440267, -0.35541832880362817
Pérez Galdós - Marqués de Zenete;157;T;2;18;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.38736643250783204, 39.46405230416093], ""type"": ""Point""}";39.46405230416093, -0.38736643250783204
Baleares - Lebón;60;T;15;4;19;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3517763125261459, 39.46223128102797], ""type"": ""Point""}";39.46223128102797, -0.3517763125261459
Salvador Ferrandis Luna - Juan Bautista Vives;218;T;4;11;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3973844614710405, 39.47074033078547], ""type"": ""Point""}";39.47074033078547, -0.3973844614710405
Peris y Valero - Cabo Jubi;38;T;5;10;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.37024937736936264, 39.45940204927687], ""type"": ""Point""}";39.45940204927687, -0.37024937736936264
Autopista del Saler - Antonio Ferrandis (C.C. El Saler);50;T;39;1;40;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3528593228128155, 39.453318252515686], ""type"": ""Point""}";39.453318252515686, -0.3528593228128155
Luis García Berlanga Martí - Menorca;52;T;22;3;25;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3463402980947426, 39.45603425797373], ""type"": ""Point""}";39.45603425797373, -0.3463402980947426
Corts Valencianes - General Avilés;204;T;3;17;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3965874461307865, 39.485843380594176], ""type"": ""Point""}";39.485843380594176, -0.3965874461307865
Nicasio Benlloch - Amics dels Corpus;205;T;2;22;24;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3930904323547156, 39.48928739053543], ""type"": ""Point""}";39.48928739053543, -0.3930904323547156
Benifairó de Valldigna - Joaquín Benlloch;186;T;13;0;14;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3740153970137416, 39.45039125246078], ""type"": ""Point""}";39.45039125246078, -0.3740153970137416
Av Puerto 19 (Telefónica);63;T;15;5;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.358414330727018, 39.46777930285978], ""type"": ""Point""}";39.46777930285978, -0.358414330727018
Juan Verdeguer - Toneleros;67;T;14;0;14;F;23/01/2024 17:44:30;"{""coordinates"": [-0.33679826304022287, 39.45886026320377], ""type"": ""Point""}";39.45886026320377, -0.33679826304022287
Av. Puerto - Serrería;69;T;18;7;25;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3387212679875118, 39.46195227384504], ""type"": ""Point""}";39.46195227384504, -0.3387212679875118
Av. Puerto - Plaza Tribunal de les Aigües;71;T;14;6;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.33353125122308164, 39.46038026686525], ""type"": ""Point""}";39.46038026686525, -0.33353125122308164
Jerónimo Monsoriu - Industria;73;T;4;16;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3428792786496773, 39.4662592905475], ""type"": ""Point""}";39.4662592905475, -0.3428792786496773
República Argentina - Campoamor;75;T;4;21;25;T;23/01/2024 17:44:30;"{""coordinates"": [-0.35170130420295115, 39.472113313853896], ""type"": ""Point""}";39.472113313853896, -0.35170130420295115
Aragón - Ernesto Ferrer;79;T;1;19;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.357242322435451, 39.4727793187067], ""type"": ""Point""}";39.4727793187067, -0.357242322435451
Giorgeta, 64;207;T;4;11;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.381905420300487, 39.45539327294658], ""type"": ""Point""}";39.45539327294658, -0.381905420300487
Av. Puerto 61-63;64;T;9;11;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.35419531724959286, 39.46651829706714], ""type"": ""Point""}";39.46651829706714, -0.35419531724959286
Av. Puerto - José Aguilar;68;T;10;10;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3417332778594022, 39.46280327868023], ""type"": ""Point""}";39.46280327868023, -0.3417332778594022
Colón, 44;70;T;13;4;17;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3716462894107889, 39.469213221319464], ""type"": ""Point""}";39.469213221319464, -0.3716462894107889
Plaza San Felipe Neri (Mercado Algirós);74;T;12;7;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3537343124957471, 39.469949307546806], ""type"": ""Point""}";39.469949307546806, -0.3537343124957471
Albalat dels Tarongers - Professor Ernest Lluch;106;T;25;0;25;F;23/01/2024 17:44:30;"{""coordinates"": [-0.34138726522688073, 39.47674432466283], ""type"": ""Point""}";39.47674432466283, -0.34138726522688073
UPV Trinquet;110;T;28;2;30;F;23/01/2024 17:44:30;"{""coordinates"": [-0.33668024623462534, 39.48074033571707], ""type"": ""Point""}";39.48074033571707, -0.33668024623462534
Doctor Vicente Zaragozá - Ramón Asensio;116;T;9;6;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3575613154471814, 39.48325335356676], ""type"": ""Point""}";39.48325335356676, -0.3575613154471814
Gascó Oliag - Primado Reig;117;T;9;20;30;T;23/01/2024 17:44:30;"{""coordinates"": [-0.357065317141581, 39.47925133992885], ""type"": ""Point""}";39.47925133992885, -0.357065317141581
Jaime Roig - Bachiller;119;T;0;19;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.36322633473676447, 39.48252035422283], ""type"": ""Point""}";39.48252035422283, -0.36322633473676447
Murta - Sant Eperit;121;T;7;8;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.35877131748144303, 39.48618236435413], ""type"": ""Point""}";39.48618236435413, -0.35877131748144303
