;Total;;;0 - 15 ;;;16 - 64;;;65 i més;;
;Total;Homes;Dones;Total;Homes;Dones;Total;Homes;Dones;Total;Homes;Dones
Total;809.501;384.132;425.369;108.868;56.001;52.867;527.263;257.775;269.488;173.370;70.356;103.014
 1. Ciutat Vella;;;;;;;;;;;;
    1. la Seu;3.151;1.514;1.637;350;177;173;2.183;1.065;1.118;618;272;346
    2. la Xerea;4.002;1.869;2.133;500;264;236;2.554;1.229;1.325;948;376;572
    3. el Carme;6.896;3.411;3.485;782;403;379;4.818;2.522;2.296;1.296;486;810
    4. el Pilar;4.921;2.296;2.625;620;315;305;3.484;1.657;1.827;817;324;493
    5. el Mercat;3.936;1.953;1.983;448;227;221;2.805;1.427;1.378;683;299;384
    6. Sant Francesc;5.857;2.687;3.170;683;319;364;3.713;1.781;1.932;1.461;587;874
 2. l'Eixample;;;;;;;;;;;;
    1. Russafa;24.432;11.328;13.104;3.207;1.670;1.537;16.173;7.769;8.404;5.052;1.889;3.163
    2. el Pla del Remei;7.094;3.222;3.872;1.030;498;532;4.189;1.995;2.194;1.875;729;1.146
    3. la Gran Via;12.039;5.509;6.530;1.744;924;820;7.309;3.457;3.852;2.986;1.128;1.858
 3. Extramurs;;;;;;;;;;;;
    1. el Botànic;6.639;3.176;3.463;838;445;393;4.458;2.200;2.258;1.343;531;812
    2. la Roqueta;4.726;2.243;2.483;535;286;249;3.220;1.581;1.639;971;376;595
    3. la Petxina;15.095;6.875;8.220;2.110;1.102;1.008;9.501;4.483;5.018;3.484;1.290;2.194
    4. Arrancapins;22.875;10.382;12.493;2.939;1.458;1.481;14.238;6.775;7.463;5.698;2.149;3.549
 4. Campanar;;;;;;;;;;;;
    1. Campanar;11.595;5.326;6.269;1.484;717;767;6.698;3.181;3.517;3.413;1.428;1.985
    2. les Tendetes;5.362;2.499;2.863;600;304;296;3.338;1.598;1.740;1.424;597;827
    3. el Calvari;4.984;2.308;2.676;584;281;303;3.293;1.611;1.682;1.107;416;691
    4. Sant Pau;17.905;8.693;9.212;3.715;1.915;1.800;11.369;5.530;5.839;2.821;1.248;1.573
 5. la Saïdia;;;;;;;;;;;;
    1. Marxalenes;10.930;4.972;5.958;1.325;683;642;6.795;3.195;3.600;2.810;1.094;1.716
    2. Morvedre;10.124;4.665;5.459;1.203;609;594;6.487;3.142;3.345;2.434;914;1.520
    3. Trinitat;7.970;3.629;4.341;1.000;503;497;4.995;2.378;2.617;1.975;748;1.227
    4. Tormos;8.654;4.159;4.495;1.122;611;511;5.922;2.910;3.012;1.610;638;972
    5. Sant Antoni;9.821;4.623;5.198;1.294;634;660;6.282;3.084;3.198;2.245;905;1.340
