;Total;0 - 4;5 - 9;10 - 14;15 - 19;20 - 24;25 - 29;30 -34;35 - 39;40 - 44;45 - 49;50 - 54;55 - 59;60 - 64;65 - 69;70 - 74;75 - 79;80 - 84;85 - 89;≥ 90
Total;809.501;28.294;33.993;38.342;41.265;44.277;48.856;49.959;51.686;59.449;64.886;61.925;60.021;53.178;45.260;41.696;34.938;24.194;17.025;10.257
 1. Ciutat Vella;28.763;922;1.055;1.153;1.336;1.701;2.103;2.126;2.002;2.109;2.378;2.248;2.062;1.745;1.469;1.367;1.148;814;570;455
 2. l'Eixample;43.565;1.652;1.845;2.055;2.217;2.183;2.506;2.583;2.781;2.993;3.350;3.376;3.306;2.805;2.416;2.210;1.907;1.467;1.107;806
 3. Extramurs;49.335;1.781;2.028;2.134;2.414;2.580;2.964;3.002;3.179;3.427;3.704;3.748;3.571;3.307;2.836;2.513;2.246;1.699;1.296;906
 4. Campanar;39.846;1.556;2.055;2.311;2.125;1.771;1.786;2.195;2.678;3.172;3.428;3.003;2.547;2.454;2.421;2.266;1.858;1.116;674;430
 5. la Saïdia;47.499;1.655;1.871;2.006;2.154;2.425;3.022;3.090;3.125;3.412;3.607;3.469;3.493;3.096;2.635;2.486;2.283;1.709;1.184;777
 6. el Pla del Real;30.680;1.359;1.465;1.626;1.547;1.846;1.992;1.888;1.818;1.945;2.045;1.936;1.999;1.877;1.682;1.712;1.612;1.138;745;448
 7. l'Olivereta;49.584;1.725;1.855;2.185;2.433;2.780;3.249;3.213;3.235;3.574;3.859;3.832;3.777;3.258;2.399;2.316;2.136;1.671;1.296;791
 8. Patraix;58.333;1.836;2.255;2.562;2.944;3.194;3.222;3.420;3.450;4.123;4.547;4.609;4.845;4.386;3.631;3.408;2.536;1.599;1.101;665
 9. Jesús;52.585;1.589;2.020;2.372;2.515;2.814;3.241;3.266;3.328;3.926;4.443;3.973;4.069;3.641;3.118;2.866;2.181;1.579;1.054;590
10. Quatre Carreres;76.572;2.693;3.291;3.731;4.065;3.930;4.220;4.676;4.953;5.804;6.396;6.205;5.824;4.785;4.001;3.767;3.402;2.352;1.595;882
11. Poblats Marítims;55.897;1.854;2.227;2.601;2.881;3.160;3.382;3.413;3.630;4.274;4.434;4.310;4.212;3.895;3.234;2.768;2.213;1.549;1.156;704
12. Camins al Grau;66.245;2.247;2.854;3.442;3.851;3.905;3.877;4.001;4.075;4.799;5.558;5.646;5.105;4.243;3.466;2.977;2.530;1.778;1.204;687
13. Algirós;35.819;981;1.201;1.346;1.522;2.225;2.737;2.317;2.068;2.245;2.400;2.180;2.477;2.740;2.431;2.506;1.974;1.163;827;479
14. Benimaclet;28.317;929;1.094;1.061;1.161;1.688;2.157;1.990;1.867;1.980;1.979;1.694;1.983;2.056;1.908;1.703;1.281;850;591;345
15. Rascanya;54.605;2.049;2.621;2.941;3.165;3.221;3.422;3.330;3.423;4.154;4.866;4.419;3.979;3.180;2.678;2.369;1.978;1.349;997;464
16. Benicalap;48.706;1.895;2.317;2.633;2.574;2.658;2.757;2.943;3.296;4.138;4.221;3.898;3.555;2.837;2.412;2.238;1.864;1.238;811;421
17. Pobles del Nord;6.875;224;302;386;451;350;300;350;386;487;584;598;544;446;403;350;284;181;146;103
18. Pobles de l'Oest;14.758;568;673;735;799;833;780;885;994;1.204;1.301;1.157;1.039;936;843;688;611;344;264;104
19. Pobles del Sud;21.517;779;964;1.062;1.111;1.013;1.139;1.271;1.398;1.683;1.786;1.624;1.634;1.491;1.277;1.186;894;598;407;200
Homes;384.132;14.603;17.382;19.765;20.980;22.437;24.134;24.752;25.422;29.387;32.004;30.137;28.448;24.325;20.002;18.042;14.364;9.330;5.895;2.723
 1. Ciutat Vella;13.730;464;530;587;647;818;999;1.053;993;1.047;1.221;1.128;1.055;844;698;601;472;285;176;112
 2. l'Eixample;20.059;862;951;1.052;1.101;1.087;1.196;1.224;1.350;1.422;1.625;1.619;1.546;1.278;1.028;946;737;535;325;175
 3. Extramurs;22.676;936;1.013;1.097;1.202;1.232;1.386;1.515;1.567;1.659;1.807;1.736;1.706;1.474;1.225;1.041;846;600;417;217
 4. Campanar;18.826;778;1.044;1.170;1.047;902;870;1.058;1.287;1.555;1.671;1.468;1.188;1.099;1.051;998;807;462;249;122
 5. la Saïdia;22.048;838;943;1.038;1.110;1.178;1.496;1.543;1.480;1.683;1.758;1.670;1.665;1.347;1.140;1.013;906;633;399;208
 6. el Pla del Real;14.113;717;704;825;749;923;946;900;892;935;970;893;920;813;698;697;656;448;292;135
 7. l'Olivereta;23.504;907;963;1.133;1.254;1.468;1.621;1.598;1.581;1.759;1.943;1.891;1.790;1.489;1.083;935;835;625;430;199
 8. Patraix;27.515;942;1.188;1.323;1.515;1.665;1.597;1.701;1.704;2.025;2.148;2.156;2.234;2.006;1.536;1.526;1.061;645;377;166
 9. Jesús;25.326;799;1.054;1.228;1.291;1.464;1.659;1.652;1.649;1.994;2.232;1.957;1.937;1.685;1.407;1.275;870;613;393;167
10. Quatre Carreres;36.628;1.371;1.680;1.962;2.107;2.012;2.079;2.285;2.496;2.884;3.161;3.045;2.749;2.277;1.757;1.618;1.410;918;582;235
11. Poblats Marítims;26.749;959;1.122;1.379;1.482;1.610;1.693;1.691;1.806;2.139;2.234;2.156;2.002;1.778;1.466;1.229;873;559;382;189
12. Camins al Grau;31.753;1.177;1.478;1.771;1.997;2.011;1.885;1.992;2.007;2.376;2.714;2.781;2.437;1.940;1.540;1.309;1.030;679;431;198
13. Algirós;16.874;510;623;676;818;1.095;1.361;1.214;1.037;1.180;1.194;1.033;1.076;1.217;1.035;1.055;880;448;289;133
14. Benimaclet;13.136;488;562;548;555;791;1.054;951;900;946;971;822;899;889;868;721;530;342;198;101
15. Rascanya;26.564;1.075;1.350;1.502;1.548;1.682;1.754;1.697;1.703;2.058;2.451;2.222;1.936;1.483;1.213;1.024;838;536;358;134
16. Benicalap;23.573;964;1.190;1.365;1.315;1.378;1.394;1.446;1.589;2.046;2.070;1.905;1.729;1.316;1.083;1.032;814;528;289;120
17. Pobles del Nord;3.348;121;143;197;234;182;170;173;196;239;288;303;272;210;187;162;125;73;55;18
18. Pobles de l'Oest;7.133;303;359;377;407;430;404;427;479;603;651;561;488;447;371;311;256;144;85;30
19. Pobles del Sud;10.577;392;485;535;601;509;570;632;706;837;895;791;819;733;616;549;418;257;168;64
Dones;425.369;13.691;16.611;18.577;20.285;21.840;24.722;25.207;26.264;30.062;32.882;31.788;31.573;28.853;25.258;23.654;20.574;14.864;11.130;7.534
 1. Ciutat Vella;15.033;458;525;566;689;883;1.104;1.073;1.009;1.062;1.157;1.120;1.007;901;771;766;676;529;394;343
 2. l'Eixample;23.506;790;894;1.003;1.116;1.096;1.310;1.359;1.431;1.571;1.725;1.757;1.760;1.527;1.388;1.264;1.170;932;782;631
 3. Extramurs;26.659;845;1.015;1.037;1.212;1.348;1.578;1.487;1.612;1.768;1.897;2.012;1.865;1.833;1.611;1.472;1.400;1.099;879;689
 4. Campanar;21.020;778;1.011;1.141;1.078;869;916;1.137;1.391;1.617;1.757;1.535;1.359;1.355;1.370;1.268;1.051;654;425;308
 5. la Saïdia;25.451;817;928;968;1.044;1.247;1.526;1.547;1.645;1.729;1.849;1.799;1.828;1.749;1.495;1.473;1.377;1.076;785;569
 6. el Pla del Real;16.567;642;761;801;798;923;1.046;988;926;1.010;1.075;1.043;1.079;1.064;984;1.015;956;690;453;313
 7. l'Olivereta;26.080;818;892;1.052;1.179;1.312;1.628;1.615;1.654;1.815;1.916;1.941;1.987;1.769;1.316;1.381;1.301;1.046;866;592
 8. Patraix;30.818;894;1.067;1.239;1.429;1.529;1.625;1.719;1.746;2.098;2.399;2.453;2.611;2.380;2.095;1.882;1.475;954;724;499
 9. Jesús;27.259;790;966;1.144;1.224;1.350;1.582;1.614;1.679;1.932;2.211;2.016;2.132;1.956;1.711;1.591;1.311;966;661;423
10. Quatre Carreres;39.944;1.322;1.611;1.769;1.958;1.918;2.141;2.391;2.457;2.920;3.235;3.160;3.075;2.508;2.244;2.149;1.992;1.434;1.013;647
11. Poblats Marítims;29.148;895;1.105;1.222;1.399;1.550;1.689;1.722;1.824;2.135;2.200;2.154;2.210;2.117;1.768;1.539;1.340;990;774;515
12. Camins al Grau;34.492;1.070;1.376;1.671;1.854;1.894;1.992;2.009;2.068;2.423;2.844;2.865;2.668;2.303;1.926;1.668;1.500;1.099;773;489
