Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
46250 València;;;Renta bruta media por persona;2021;17.923,00
46250 València;;;Fuente de ingreso: salario;2021;10.246,00
46250 València;4625001 València distrito 01;;Renta bruta media por persona;2021;26.067,00
46250 València;4625001 València distrito 01;;Fuente de ingreso: salario;2021;12.999,00
46250 València;4625001 València distrito 01;4625001001 València sección 01001;Renta bruta media por persona;2021;25.502,00
46250 València;4625001 València distrito 01;4625001001 València sección 01001;Fuente de ingreso: salario;2021;13.287,00
46250 València;4625001 València distrito 01;4625001002 València sección 01002;Renta bruta media por persona;2021;24.077,00
46250 València;4625001 València distrito 01;4625001002 València sección 01002;Fuente de ingreso: salario;2021;12.867,00
46250 València;4625001 València distrito 01;4625001003 València sección 01003;Renta bruta media por persona;2021;27.109,00
46250 València;4625001 València distrito 01;4625001003 València sección 01003;Fuente de ingreso: salario;2021;13.290,00
46250 València;4625001 València distrito 01;4625001005 València sección 01005;Renta bruta media por persona;2021;27.729,00
46250 València;4625001 València distrito 01;4625001005 València sección 01005;Fuente de ingreso: salario;2021;12.176,00
46250 València;4625001 València distrito 01;4625001007 València sección 01007;Renta bruta media por persona;2021;38.356,00
46250 València;4625001 València distrito 01;4625001007 València sección 01007;Fuente de ingreso: salario;2021;18.485,00
46250 València;4625001 València distrito 01;4625001008 València sección 01008;Renta bruta media por persona;2021;32.196,00
46250 València;4625001 València distrito 01;4625001008 València sección 01008;Fuente de ingreso: salario;2021;13.395,00
46250 València;4625001 València distrito 01;4625001009 València sección 01009;Renta bruta media por persona;2021;46.570,00
46250 València;4625001 València distrito 01;4625001009 València sección 01009;Fuente de ingreso: salario;2021;20.344,00
46250 València;4625001 València distrito 01;4625001010 València sección 01010;Renta bruta media por persona;2021;18.837,00
46250 València;4625001 València distrito 01;4625001010 València sección 01010;Fuente de ingreso: salario;2021;11.198,00
46250 València;4625001 València distrito 01;4625001011 València sección 01011;Renta bruta media por persona;2021;18.531,00
46250 València;4625001 València distrito 01;4625001011 València sección 01011;Fuente de ingreso: salario;2021;11.488,00
46250 València;4625001 València distrito 01;4625001012 València sección 01012;Renta bruta media por persona;2021;18.912,00
46250 València;4625001 València distrito 01;4625001012 València sección 01012;Fuente de ingreso: salario;2021;11.904,00
46250 València;4625001 València distrito 01;4625001013 València sección 01013;Renta bruta media por persona;2021;20.299,00
46250 València;4625001 València distrito 01;4625001013 València sección 01013;Fuente de ingreso: salario;2021;11.349,00
46250 València;4625001 València distrito 01;4625001014 València sección 01014;Renta bruta media por persona;2021;18.244,00
46250 València;4625001 València distrito 01;4625001014 València sección 01014;Fuente de ingreso: salario;2021;12.308,00
46250 València;4625001 València distrito 01;4625001017 València sección 01017;Renta bruta media por persona;2021;21.915,00
46250 València;4625001 València distrito 01;4625001017 València sección 01017;Fuente de ingreso: salario;2021;11.529,00
46250 València;4625001 València distrito 01;4625001018 València sección 01018;Renta bruta media por persona;2021;
46250 València;4625001 València distrito 01;4625001018 València sección 01018;Fuente de ingreso: salario;2021;
46250 València;4625001 València distrito 01;4625001019 València sección 01019;Renta bruta media por persona;2021;18.388,00
46250 València;4625001 València distrito 01;4625001019 València sección 01019;Fuente de ingreso: salario;2021;11.311,00
46250 València;4625001 València distrito 01;4625001022 València sección 01022;Renta bruta media por persona;2021;21.604,00
46250 València;4625001 València distrito 01;4625001022 València sección 01022;Fuente de ingreso: salario;2021;12.018,00
46250 València;4625001 València distrito 01;4625001023 València sección 01023;Renta bruta media por persona;2021;21.705,00
46250 València;4625001 València distrito 01;4625001023 València sección 01023;Fuente de ingreso: salario;2021;12.119,00
46250 València;4625001 València distrito 01;4625001024 València sección 01024;Renta bruta media por persona;2021;19.883,00
46250 València;4625001 València distrito 01;4625001024 València sección 01024;Fuente de ingreso: salario;2021;10.720,00
46250 València;4625001 València distrito 01;4625001025 València sección 01025;Renta bruta media por persona;2021;23.009,00
46250 València;4625001 València distrito 01;4625001025 València sección 01025;Fuente de ingreso: salario;2021;13.112,00
46250 València;4625001 València distrito 01;4625001026 València sección 01026;Renta bruta media por persona;2021;24.616,00
46250 València;4625001 València distrito 01;4625001026 València sección 01026;Fuente de ingreso: salario;2021;12.665,00
46250 València;4625001 València distrito 01;4625001028 València sección 01028;Renta bruta media por persona;2021;29.412,00
46250 València;4625001 València distrito 01;4625001028 València sección 01028;Fuente de ingreso: salario;2021;14.370,00
46250 València;4625001 València distrito 01;4625001030 València sección 01030;Renta bruta media por persona;2021;39.763,00
46250 València;4625001 València distrito 01;4625001030 València sección 01030;Fuente de ingreso: salario;2021;16.740,00
46250 València;4625001 València distrito 01;4625001031 València sección 01031;Renta bruta media por persona;2021;42.629,00
46250 València;4625001 València distrito 01;4625001031 València sección 01031;Fuente de ingreso: salario;2021;15.551,00
46250 València;4625001 València distrito 01;4625001032 València sección 01032;Renta bruta media por persona;2021;32.140,00
46250 València;4625001 València distrito 01;4625001032 València sección 01032;Fuente de ingreso: salario;2021;12.844,00
46250 València;4625001 València distrito 01;4625001034 València sección 01034;Renta bruta media por persona;2021;26.423,00
46250 València;4625001 València distrito 01;4625001034 València sección 01034;Fuente de ingreso: salario;2021;12.432,00
46250 València;4625002 València distrito 02;;Renta bruta media por persona;2021;28.182,00
46250 València;4625002 València distrito 02;;Fuente de ingreso: salario;2021;13.975,00
46250 València;4625002 València distrito 02;4625002001 València sección 02001;Renta bruta media por persona;2021;27.412,00
46250 València;4625002 València distrito 02;4625002001 València sección 02001;Fuente de ingreso: salario;2021;12.970,00
46250 València;4625002 València distrito 02;4625002003 València sección 02003;Renta bruta media por persona;2021;25.980,00
46250 València;4625002 València distrito 02;4625002003 València sección 02003;Fuente de ingreso: salario;2021;12.403,00
46250 València;4625002 València distrito 02;4625002004 València sección 02004;Renta bruta media por persona;2021;22.018,00
46250 València;4625002 València distrito 02;4625002004 València sección 02004;Fuente de ingreso: salario;2021;11.954,00
46250 València;4625002 València distrito 02;4625002006 València sección 02006;Renta bruta media por persona;2021;21.319,00
46250 València;4625002 València distrito 02;4625002006 València sección 02006;Fuente de ingreso: salario;2021;11.364,00
46250 València;4625002 València distrito 02;4625002008 València sección 02008;Renta bruta media por persona;2021;22.817,00
46250 València;4625002 València distrito 02;4625002008 València sección 02008;Fuente de ingreso: salario;2021;12.083,00
46250 València;4625002 València distrito 02;4625002009 València sección 02009;Renta bruta media por persona;2021;21.555,00
46250 València;4625002 València distrito 02;4625002009 València sección 02009;Fuente de ingreso: salario;2021;12.441,00
46250 València;4625002 València distrito 02;4625002010 València sección 02010;Renta bruta media por persona;2021;21.612,00
46250 València;4625002 València distrito 02;4625002010 València sección 02010;Fuente de ingreso: salario;2021;12.754,00
46250 València;4625002 València distrito 02;4625002013 València sección 02013;Renta bruta media por persona;2021;20.208,00
46250 València;4625002 València distrito 02;4625002013 València sección 02013;Fuente de ingreso: salario;2021;12.376,00
46250 València;4625002 València distrito 02;4625002014 València sección 02014;Renta bruta media por persona;2021;27.202,00
46250 València;4625002 València distrito 02;4625002014 València sección 02014;Fuente de ingreso: salario;2021;13.931,00
46250 València;4625002 València distrito 02;4625002015 València sección 02015;Renta bruta media por persona;2021;19.294,00
46250 València;4625002 València distrito 02;4625002015 València sección 02015;Fuente de ingreso: salario;2021;12.058,00
46250 València;4625002 València distrito 02;4625002016 València sección 02016;Renta bruta media por persona;2021;24.178,00
46250 València;4625002 València distrito 02;4625002016 València sección 02016;Fuente de ingreso: salario;2021;13.364,00
46250 València;4625002 València distrito 02;4625002018 València sección 02018;Renta bruta media por persona;2021;22.175,00
46250 València;4625002 València distrito 02;4625002018 València sección 02018;Fuente de ingreso: salario;2021;10.459,00
46250 València;4625002 València distrito 02;4625002019 València sección 02019;Renta bruta media por persona;2021;19.392,00
46250 València;4625002 València distrito 02;4625002019 València sección 02019;Fuente de ingreso: salario;2021;11.276,00
46250 València;4625002 València distrito 02;4625002020 València sección 02020;Renta bruta media por persona;2021;20.245,00
46250 València;4625002 València distrito 02;4625002020 València sección 02020;Fuente de ingreso: salario;2021;11.944,00
46250 València;4625002 València distrito 02;4625002021 València sección 02021;Renta bruta media por persona;2021;21.660,00
46250 València;4625002 València distrito 02;4625002021 València sección 02021;Fuente de ingreso: salario;2021;12.337,00
46250 València;4625002 València distrito 02;4625002022 València sección 02022;Renta bruta media por persona;2021;19.538,00
46250 València;4625002 València distrito 02;4625002022 València sección 02022;Fuente de ingreso: salario;2021;10.394,00
46250 València;4625002 València distrito 02;4625002023 València sección 02023;Renta bruta media por persona;2021;21.434,00
46250 València;4625002 València distrito 02;4625002023 València sección 02023;Fuente de ingreso: salario;2021;13.203,00
46250 València;4625002 València distrito 02;4625002024 València sección 02024;Renta bruta media por persona;2021;20.534,00
46250 València;4625002 València distrito 02;4625002024 València sección 02024;Fuente de ingreso: salario;2021;12.841,00
46250 València;4625002 València distrito 02;4625002025 València sección 02025;Renta bruta media por persona;2021;18.067,00
46250 València;4625002 València distrito 02;4625002025 València sección 02025;Fuente de ingreso: salario;2021;11.374,00
46250 València;4625002 València distrito 02;4625002026 València sección 02026;Renta bruta media por persona;2021;20.352,00
46250 València;4625002 València distrito 02;4625002026 València sección 02026;Fuente de ingreso: salario;2021;12.472,00
46250 València;4625002 València distrito 02;4625002030 València sección 02030;Renta bruta media por persona;2021;17.207,00
46250 València;4625002 València distrito 02;4625002030 València sección 02030;Fuente de ingreso: salario;2021;10.133,00
46250 València;4625002 València distrito 02;4625002031 València sección 02031;Renta bruta media por persona;2021;19.723,00
46250 València;4625002 València distrito 02;4625002031 València sección 02031;Fuente de ingreso: salario;2021;12.271,00
46250 València;4625002 València distrito 02;4625002032 València sección 02032;Renta bruta media por persona;2021;18.068,00
46250 València;4625002 València distrito 02;4625002032 València sección 02032;Fuente de ingreso: salario;2021;9.353,00
46250 València;4625002 València distrito 02;4625002033 València sección 02033;Renta bruta media por persona;2021;42.253,00
46250 València;4625002 València distrito 02;4625002033 València sección 02033;Fuente de ingreso: salario;2021;17.298,00
46250 València;4625002 València distrito 02;4625002035 València sección 02035;Renta bruta media por persona;2021;46.570,00
46250 València;4625002 València distrito 02;4625002035 València sección 02035;Fuente de ingreso: salario;2021;18.854,00
46250 València;4625002 València distrito 02;4625002036 València sección 02036;Renta bruta media por persona;2021;46.570,00
46250 València;4625002 València distrito 02;4625002036 València sección 02036;Fuente de ingreso: salario;2021;16.031,00
46250 València;4625002 València distrito 02;4625002037 València sección 02037;Renta bruta media por persona;2021;39.664,00
46250 València;4625002 València distrito 02;4625002037 València sección 02037;Fuente de ingreso: salario;2021;15.017,00
46250 València;4625002 València distrito 02;4625002039 València sección 02039;Renta bruta media por persona;2021;38.478,00
46250 València;4625002 València distrito 02;4625002039 València sección 02039;Fuente de ingreso: salario;2021;14.749,00
46250 València;4625002 València distrito 02;4625002040 València sección 02040;Renta bruta media por persona;2021;46.570,00
