geo_point_2d;geo_shape;nivel2;nivel3;id;m2_poligon;m2zv_enero;m2zv_febre;m2zv_marzo;m2zv_abril;m2zv_mayo;m2zv_junio;m2zv_julio;m2zv_agost;m2zv_octub;m2zv_novie;m2zv_dicie
39.449783437026895, -0.3356296840564496;"{""coordinates"": [[[-0.335889235021999, 39.449688069024845], [-0.335789599355145, 39.449948014063715], [-0.335781147376961, 39.44996107491475], [-0.335769976616786, 39.44997269600186], [-0.335756378770207, 39.44998263266639], [-0.335740748564351, 39.44999058945966], [-0.335723580936917, 39.4499963245803], [-0.335705391745984, 39.44999965706557], [-0.335685882267855, 39.450000467457414], [-0.335473387343392, 39.44998052258559], [-0.335464542648979, 39.449978104558966], [-0.335446195594226, 39.44997095258767], [-0.335429728190008, 39.449961436564664], [-0.335415641718545, 39.449949849056765], [-0.335404362053294, 39.44993654035981], [-0.335396240888702, 39.44992191672507], [-0.335393650049814, 39.449914929586555], [-0.335436569528663, 39.44964074715372], [-0.335439477147161, 39.449634554523854], [-0.335450520689275, 39.44961752529243], [-0.335465209111491, 39.44960223993692], [-0.33548309803635, 39.449589168435466], [-0.335503646024618, 39.449578705570055], [-0.335526226356687, 39.44957116669244], [-0.335543196779492, 39.44956770539546], [-0.33581626040425, 39.449606358794355], [-0.335834362664738, 39.44961340780088], [-0.335850527750032, 39.44962274567016], [-0.335864353908631, 39.44963412085815], [-0.335875426875985, 39.44964718333845], [-0.335883404853829, 39.4496615415037], [-0.335888042038875, 39.44967675459683], [-0.335889235021999, 39.449688069024845]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;3;1607.248;;;270.406;270.406;170.406;43.26;;;;;
39.4483242572977, -0.33159865023764284;"{""coordinates"": [[[-0.331761452042548, 39.448125506943185], [-0.331802222608141, 39.44816145097089], [-0.331625637925981, 39.44829273919193], [-0.331700855993535, 39.44835966067413], [-0.331543640716425, 39.44848757102325], [-0.331427226637628, 39.44836518165173], [-0.331761452042548, 39.448125506943185]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;7;420.227;;;;;;;;;;;
39.47750814773847, -0.3648741960318308;"{""coordinates"": [[[-0.364051377341687, 39.47728221238878], [-0.36411353344709, 39.477204355919945], [-0.364325728873233, 39.47707358155235], [-0.364603608760564, 39.47712786100229], [-0.36495543912909, 39.47714835547125], [-0.36505241246016, 39.477146382419484], [-0.365473522223043, 39.477114211590454], [-0.365577991993647, 39.47709986333537], [-0.365821458634689, 39.47707104383759], [-0.365798759927738, 39.47735998120073], [-0.365821763939273, 39.477372421275014], [-0.365724725726541, 39.47744740149833], [-0.365750754170964, 39.4774709368872], [-0.364855732666464, 39.478149440190684], [-0.364809162028759, 39.47824225190045], [-0.364526789526511, 39.47787914943028], [-0.36446657298557, 39.477763056120665], [-0.364442998747409, 39.47774583360298], [-0.363907870533485, 39.477589765049125], [-0.364051377341687, 39.47728221238878]], [[-0.365613491941833, 39.47722967737431], [-0.365513289652533, 39.47714217822444], [-0.365379935664091, 39.477161715547076], [-0.365409346328185, 39.477265723789095], [-0.365613491941833, 39.47722967737431]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;8;11720.471;11119.081;8577.404;9884.77;10133.035;10457.468;9941.302;10098.797;10474.772;9911.425;11114.739;2672.24
39.47853342821153, -0.3633355201795789;"{""coordinates"": [[[-0.362966045509292, 39.47820512048358], [-0.363024761296574, 39.47819440278516], [-0.363876213996802, 39.47844419453045], [-0.363892444161573, 39.47848221126583], [-0.363707102913838, 39.478860608144636], [-0.363663809016001, 39.478874688595845], [-0.36279852887327, 39.47862609672409], [-0.362776474907748, 39.47859245746169], [-0.362966045509292, 39.47820512048358]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;11;4377.367;2612.33;600.0;1700.0;2868.791;4204.993;4286.703;4243.163;4337.614;3781.961;4043.875;
39.486274608818825, -0.3664945857430385;"{""coordinates"": [[[-0.366688211542926, 39.486553671191906], [-0.365970609634231, 39.486005831761766], [-0.366824936051958, 39.48626432350282], [-0.366688211542926, 39.486553671191906]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;14;1349.965;143.46;;31.066;554.321;899.441;571.254;636.791;250.833;357.638;587.404;
39.4418518037002, -0.3890917567170965;"{""coordinates"": [[[-0.389328491385801, 39.44171455592801], [-0.389606448231718, 39.441665897793904], [-0.389674789377041, 39.44182664420187], [-0.38932152372201, 39.441901061006945], [-0.388597610322815, 39.44204126585616], [-0.388534501057134, 39.44193004722381], [-0.388530942565272, 39.44192559257687], [-0.388527046945628, 39.44191859346357], [-0.388524778479672, 39.44191117596119], [-0.388524205376568, 39.441903566823534], [-0.388525345792249, 39.441895995283296], [-0.388528164380445, 39.44188869207372], [-0.388532576145482, 39.4418818796054], [-0.388538445550598, 39.441875764739166], [-0.388545594846027, 39.441870533567986], [-0.388553807820906, 39.441866344294155], [-0.388558184516536, 39.44186469851277], [-0.388843730483626, 39.44180248774205], [-0.389328491385801, 39.44171455592801]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;15;1927.147;;;;;;;;;;;
39.48668698514526, -0.36736228146671107;"{""coordinates"": [[[-0.367033784451092, 39.486639682022705], [-0.367125281744201, 39.48646615371955], [-0.367675511515577, 39.48663318681205], [-0.367511735316371, 39.48695933065226], [-0.367033784451092, 39.486639682022705]]], ""type"": ""Polygon""}";Zonas verdes;Jardin;16;1524.137;;;;;;;;;;;
39.48633353189224, -0.3690703123316715;"{""coordinates"": [[[-0.368576993093321, 39.4864711877167], [-0.368760303332305, 39.48611445392457], [-0.369328891456579, 39.48629291082818], [-0.369400023752565, 39.4861501665126], [-0.369708714762129, 39.48624631430776], [-0.369644176047467, 39.486359488148544], [-0.369487493307627, 39.48630074722419], [-0.369359535718843, 39.48649739823574], [-0.368984350088821, 39.48642097217995], [-0.368938905103893, 39.48655457740271], [-0.368576993093321, 39.4864711877167]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;22;2445.924;271.904;98.359;373.922;517.122;800.014;690.098;588.292;599.194;407.358;851.761;
39.48580204557707, -0.3699059526803764;"{""coordinates"": [[[-0.369911290914733, 39.48618340600134], [-0.368921908574426, 39.48589733630164], [-0.368940092289742, 39.48585104478005], [-0.369476630392243, 39.48600754697784], [-0.369518151895799, 39.48592357299471], [-0.369884214369062, 39.486036558295254], [-0.370284111237224, 39.485371984699626], [-0.370195032162761, 39.48524539632931], [-0.370486435577904, 39.4852666581592], [-0.369911290914733, 39.48618340600134]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;24;1951.555;;;;559.16;1052.268;983.408;828.072;783.158;166.353;874.541;
39.485430707323644, -0.37064013812236646;"{""coordinates"": [[[-0.37067515717858, 39.48528870837312], [-0.3707009594058, 39.48527545204264], [-0.370809924492035, 39.48528406158689], [-0.37077261893142, 39.48534907339976], [-0.370682906285469, 39.48547802646361], [-0.370572379549151, 39.48557381022511], [-0.370444067838234, 39.485634592324764], [-0.370656703556233, 39.48530443632625], [-0.37067515717858, 39.48528870837312]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;26;396.518;;;;;;;;;;1.485;
