OBJECTID;Nombre Places / Número Plazas;geo_shape;geo_point_2d
222612;1;"{""coordinates"": [-0.3972128026273192, 39.47159252826419], ""type"": ""Point""}";39.47159252826419, -0.3972128026273192
222614;1;"{""coordinates"": [-0.3524261845916224, 39.46018203347604], ""type"": ""Point""}";39.46018203347604, -0.3524261845916224
222615;1;"{""coordinates"": [-0.3537597251012386, 39.46090562191576], ""type"": ""Point""}";39.46090562191576, -0.3537597251012386
222616;1;"{""coordinates"": [-0.3568668192965984, 39.46579243933014], ""type"": ""Point""}";39.46579243933014, -0.3568668192965984
222617;1;"{""coordinates"": [-0.37989680340966836, 39.4479689817267], ""type"": ""Point""}";39.4479689817267, -0.37989680340966836
222618;1;"{""coordinates"": [-0.3791048923624509, 39.44909995097994], ""type"": ""Point""}";39.44909995097994, -0.3791048923624509
222623;1;"{""coordinates"": [-0.3896723257882087, 39.43594644026288], ""type"": ""Point""}";39.43594644026288, -0.3896723257882087
222626;4;"{""coordinates"": [-0.39052588681326345, 39.43968126318701], ""type"": ""Point""}";39.43968126318701, -0.39052588681326345
222627;1;"{""coordinates"": [-0.39798226259991604, 39.44271495726018], ""type"": ""Point""}";39.44271495726018, -0.39798226259991604
222629;2;"{""coordinates"": [-0.3963813915330885, 39.44315368671688], ""type"": ""Point""}";39.44315368671688, -0.3963813915330885
222631;1;"{""coordinates"": [-0.39011100770850005, 39.44331018227688], ""type"": ""Point""}";39.44331018227688, -0.39011100770850005
222637;1;"{""coordinates"": [-0.406934971721381, 39.49508918161724], ""type"": ""Point""}";39.49508918161724, -0.406934971721381
222639;1;"{""coordinates"": [-0.39505422988311484, 39.492212117762854], ""type"": ""Point""}";39.492212117762854, -0.39505422988311484
222643;1;"{""coordinates"": [-0.39301955319449133, 39.49059431534463], ""type"": ""Point""}";39.49059431534463, -0.39301955319449133
222646;1;"{""coordinates"": [-0.41953227964921713, 39.49957692972409], ""type"": ""Point""}";39.49957692972409, -0.41953227964921713
222648;1;"{""coordinates"": [-0.4179658278062278, 39.500567856019465], ""type"": ""Point""}";39.500567856019465, -0.4179658278062278
222649;1;"{""coordinates"": [-0.41569090601313313, 39.50029149135069], ""type"": ""Point""}";39.50029149135069, -0.41569090601313313
222651;1;"{""coordinates"": [-0.4172845155660908, 39.50380473332716], ""type"": ""Point""}";39.50380473332716, -0.4172845155660908
222652;1;"{""coordinates"": [-0.41829062182265364, 39.50272044181141], ""type"": ""Point""}";39.50272044181141, -0.41829062182265364
222655;2;"{""coordinates"": [-0.42644763389044577, 39.50334264748802], ""type"": ""Point""}";39.50334264748802, -0.42644763389044577
222660;1;"{""coordinates"": [-0.3256155676365776, 39.48363905610911], ""type"": ""Point""}";39.48363905610911, -0.3256155676365776
222662;1;"{""coordinates"": [-0.3312829294608283, 39.47785178936509], ""type"": ""Point""}";39.47785178936509, -0.3312829294608283
222663;1;"{""coordinates"": [-0.3314952369181453, 39.47839031487644], ""type"": ""Point""}";39.47839031487644, -0.3314952369181453
222664;1;"{""coordinates"": [-0.33044859990784964, 39.4832169569789], ""type"": ""Point""}";39.4832169569789, -0.33044859990784964
222665;1;"{""coordinates"": [-0.33088894865955903, 39.48334648333271], ""type"": ""Point""}";39.48334648333271, -0.33088894865955903
222666;1;"{""coordinates"": [-0.35637786830806045, 39.48582863406221], ""type"": ""Point""}";39.48582863406221, -0.35637786830806045
222667;1;"{""coordinates"": [-0.35729937593488015, 39.49180133309088], ""type"": ""Point""}";39.49180133309088, -0.35729937593488015
222673;1;"{""coordinates"": [-0.35859466177142935, 39.49248471272966], ""type"": ""Point""}";39.49248471272966, -0.35859466177142935
222674;1;"{""coordinates"": [-0.35897969561166804, 39.492009587292664], ""type"": ""Point""}";39.492009587292664, -0.35897969561166804
222675;1;"{""coordinates"": [-0.3614795313273973, 39.49227053691005], ""type"": ""Point""}";39.49227053691005, -0.3614795313273973
222679;1;"{""coordinates"": [-0.36015048128271576, 39.48837089277488], ""type"": ""Point""}";39.48837089277488, -0.36015048128271576
222680;1;"{""coordinates"": [-0.36122914211622525, 39.48747375318116], ""type"": ""Point""}";39.48747375318116, -0.36122914211622525
222681;1;"{""coordinates"": [-0.32757229333426174, 39.387611741866706], ""type"": ""Point""}";39.387611741866706, -0.32757229333426174
222682;1;"{""coordinates"": [-0.33726280743563, 39.42063071206429], ""type"": ""Point""}";39.42063071206429, -0.33726280743563
222684;3;"{""coordinates"": [-0.38371426751615567, 39.46233232436356], ""type"": ""Point""}";39.46233232436356, -0.38371426751615567
222687;1;"{""coordinates"": [-0.38519086401404334, 39.46314626927272], ""type"": ""Point""}";39.46314626927272, -0.38519086401404334
222688;1;"{""coordinates"": [-0.3804111408409766, 39.46278877985968], ""type"": ""Point""}";39.46278877985968, -0.3804111408409766
222690;1;"{""coordinates"": [-0.38484261070312825, 39.46408571941733], ""type"": ""Point""}";39.46408571941733, -0.38484261070312825
222694;1;"{""coordinates"": [-0.3906275974687287, 39.45954767482991], ""type"": ""Point""}";39.45954767482991, -0.3906275974687287
222696;1;"{""coordinates"": [-0.392929229794396, 39.45916302133984], ""type"": ""Point""}";39.45916302133984, -0.392929229794396
222698;1;"{""coordinates"": [-0.3926554903971906, 39.46175480238573], ""type"": ""Point""}";39.46175480238573, -0.3926554903971906
222700;1;"{""coordinates"": [-0.39514878571640194, 39.460613348045385], ""type"": ""Point""}";39.460613348045385, -0.39514878571640194
222706;2;"{""coordinates"": [-0.360522136830028, 39.473467014848225], ""type"": ""Point""}";39.473467014848225, -0.360522136830028
222709;2;"{""coordinates"": [-0.36345479065200914, 39.47418640044466], ""type"": ""Point""}";39.47418640044466, -0.36345479065200914
222713;1;"{""coordinates"": [-0.3657435186621699, 39.475683042788944], ""type"": ""Point""}";39.475683042788944, -0.3657435186621699
222715;2;"{""coordinates"": [-0.3621172133566998, 39.47514285723156], ""type"": ""Point""}";39.47514285723156, -0.3621172133566998
