objectid;Código;Bocas;Situación;Estado;Tipo calle;Calle;Número;APERTURA;M_DERECHA;M_INFERIOR;M_IZQUIERDA;OPERATIVO;geo_shape;geo_point_2d
2259;H1244;3 O 70;U;O;Avd;Profesor Lopez Piñero;1;D;;3.0;;S;"{""coordinates"": [-0.3561902751160094, 39.45724989779402], ""type"": ""Point""}";39.45724989779402, -0.3561902751160094
2261;H1314;3 O 70;U;O;Avd;Las Ferias;s/n;D;;5.0;;S;"{""coordinates"": [-0.42440197044075006, 39.50559265789652], ""type"": ""Point""}";39.50559265789652, -0.42440197044075006
2265;H1757;3 O 70;U;O;Calle;Enguera;33;I;;;;S;"{""coordinates"": [-0.3940971345803654, 39.46483020225405], ""type"": ""Point""}";39.46483020225405, -0.3940971345803654
2272;H1625;3 O 70;U;O;AV;TARONGERS, DELS;47;D;;1.0;;S;"{""coordinates"": [-0.3278937945324584, 39.47510627794709], ""type"": ""Point""}";39.47510627794709, -0.3278937945324584
2275;H1231;3 O 70;U;O;C;LUIS PEIXO;s/n;D;;2.0;;S;"{""coordinates"": [-0.33326795692252853, 39.47578864261797], ""type"": ""Point""}";39.47578864261797, -0.33326795692252853
2285;H1350;3 O 70;U;O;C;JUAN JOSE SISTER;30;D;;2.0;;S;"{""coordinates"": [-0.33467991496032357, 39.458194422528365], ""type"": ""Point""}";39.458194422528365, -0.33467991496032357
2287;H1285;3 O 70;U;O;C;ANTONIO FERRANDIS (ACTOR);18;D;;1.0;;S;"{""coordinates"": [-0.36245000217970924, 39.44929798317847], ""type"": ""Point""}";39.44929798317847, -0.36245000217970924
2297;H1370;3 O 70;U;O;C;ALCALDE GISBERT RICO;s/n;D;;1.5;;S;"{""coordinates"": [-0.36773721122517644, 39.447744351504305], ""type"": ""Point""}";39.447744351504305, -0.36773721122517644
2299;H1373;3 O 70;U;O;C;ANGEL VILLENA;s/n;D;;2.5;;S;"{""coordinates"": [-0.36600222209387034, 39.44911150992411], ""type"": ""Point""}";39.44911150992411, -0.36600222209387034
2302;H1327;1 O 70;U;O;C;SAN PIO X;10-12;D;;1.0;;S;"{""coordinates"": [-0.3895028167748945, 39.445150617292065], ""type"": ""Point""}";39.445150617292065, -0.3895028167748945
