OBJECTID;Àngul / Ángulo;Id. Càmera / Id. Cámara;Tipus Càmera / Tipo Cámara;Pas Inferior / Paso Inferior;Descripció / Descripción;URL;geo_shape;geo_point_2d
114385;40.22999954;05503;CF;No;SERRERIA direccion MARINO BLAS DE LEZO;https://camaras.valencia.es/camaras/visualizador.html?id=05503;"{""coordinates"": [-0.33868270525395616, 39.46171807483203], ""type"": ""Point""}";39.46171807483203, -0.33868270525395616
114392;187.47000122;05703;CF;No;LUIS PEIXO direccion BLASCO IBAVEZ;https://camaras.valencia.es/camaras/visualizador.html?id=05703;"{""coordinates"": [-0.33341878006221976, 39.47624201770834], ""type"": ""Point""}";39.47624201770834, -0.33341878006221976
114394;8.17000008;05705;CF;No;INGENIERO FAUSTO ELIO direccion MENDIZABAL;https://camaras.valencia.es/camaras/visualizador.html?id=05705;"{""coordinates"": [-0.3334047079248469, 39.47634259255905], ""type"": ""Point""}";39.47634259255905, -0.3334047079248469
114395;110.12999725;05702;CF;No;AV. NARANJOS direccion EUGENIA VIEES;https://camaras.valencia.es/camaras/visualizador.html?id=05702;"{""coordinates"": [-0.3333571708339667, 39.47627853066703], ""type"": ""Point""}";39.47627853066703, -0.3333571708339667
114396;109.16999817;02307;CF;No;BLASCO IBAnEZ - DR. MOLINER direccion AV. ARAGON;https://camaras.valencia.es/camaras/visualizador.html?id=02307;"{""coordinates"": [-0.3621255915102772, 39.4778396244419], ""type"": ""Point""}";39.4778396244419, -0.3621255915102772
114399;19.54999924;03802;CF;No;EDUARDO BOSCA direccion CARDENAL BENLLOCH;https://camaras.valencia.es/camaras/visualizador.html?id=03802;"{""coordinates"": [-0.3582967854119086, 39.46365202695627], ""type"": ""Point""}";39.46365202695627, -0.3582967854119086
114406;18.72999954;04804;CF;No;V-30 direccion PUENTE DE XIRIVELLA;https://camaras.valencia.es/camaras/visualizador.html?id=04804;"{""coordinates"": [-0.4195378674621014, 39.46910491582795], ""type"": ""Point""}";39.46910491582795, -0.4195378674621014
114414;0.0;14305;CF;Si;P.I. TRES FORQUES - CIUDAD ROS CASARES direccion P.I. TRES FORQUES - CIUDAD ROS CASARES;https://camaras.valencia.es/camaras/visualizador.html?id=14305;"{""coordinates"": [-0.4138935147336124, 39.463213783080725], ""type"": ""Point""}";39.463213783080725, -0.4138935147336124
114419;0.0;00505;CF;No;Ram0n y Cajal - Cuenca (Pza. Espa;https://camaras.valencia.es/camaras/visualizador.html?id=00505;"{""coordinates"": [-0.3843081608192819, 39.46899631428823], ""type"": ""Point""}";39.46899631428823, -0.3843081608192819
114421;0.0;00808;CF;No;Torres de Serranos (Blanquerias);https://camaras.valencia.es/camaras/visualizador.html?id=00808;"{""coordinates"": [-0.3764000360170811, 39.479616799584115], ""type"": ""Point""}";39.479616799584115, -0.3764000360170811
