OBJECTID;Id;Distrito;Emplazamiento;Toma;Precio;Potencia;Observaciones;Conector;Tipo de carga;geo_shape;geo_point_2d
3;3;2;C\ General San Martin, 7;1;0,19 €/kWp;7,5 kW dia;Carga lenta nocturna;TIPO 2;MODO 3;"{""coordinates"": [-0.37535715804858477, 39.46540872434464], ""type"": ""Point""}";39.46540872434464, -0.37535715804858477
10;10;6;C\ Santa Rosa, 4;2;0,19 €/kWp;7,5 kW dia;Carga lenta nocturna;TIPO 2;MODO 3;"{""coordinates"": [-0.358459610269909, 39.46855719657758], ""type"": ""Point""}";39.46855719657758, -0.358459610269909
13;13;6;C\ Amadeo Saboya,2;3;0,19 €/kWp;7,5 kW dia;Carga lenta nocturna;TIPO 2;MODO 3;"{""coordinates"": [-0.36329927474999324, 39.473995246203316], ""type"": ""Point""}";39.473995246203316, -0.36329927474999324
14;14;6;C\ Amadeo Saboya,2;4;0,19 €/kWp;7,5 kW dia;Carga lenta nocturna;TIPO 2;MODO 3;"{""coordinates"": [-0.36327337717547026, 39.473989379452235], ""type"": ""Point""}";39.473989379452235, -0.36327337717547026
23;23;1;C/ SAN VICENTE MARTIR 57;1;0,19 €/kWp;7,5 kW dia;Carga lenta nocturna;TIPO 2;MODO 3;"{""coordinates"": [-0.37829095415970176, 39.47013809995672], ""type"": ""Point""}";39.47013809995672, -0.37829095415970176
24;24;1;C/ SAN VICENTE MARTIR 57;2;0,19 €/kWp;7,5 kW dia;Carga lenta nocturna;TIPO 2;MODO 3;"{""coordinates"": [-0.37830633113687523, 39.47012171751631], ""type"": ""Point""}";39.47012171751631, -0.37830633113687523
27;27;6;AV. BLASCO IBAÑEZ 26;1;0,19 €/kWp;7,5 kW dia;Carga lenta nocturna;TIPO 2;MODO 3;"{""coordinates"": [-0.3625151935096272, 39.47787189068027], ""type"": ""Point""}";39.47787189068027, -0.3625151935096272
28;28;6;AV. BLASCO IBAÑEZ 26;2;0,19 €/kWp;7,5 kW dia;Carga lenta nocturna;TIPO 2;MODO 3;"{""coordinates"": [-0.3624476138559977, 39.4778545013742], ""type"": ""Point""}";39.4778545013742, -0.3624476138559977
31;31;8;c\ Primero de mayo 19;1;0,19 €/kWp;7,5 kW dia;Carga lenta nocturna;TIPO 2;MODO 3;"{""coordinates"": [-0.38818829055796156, 39.44902272576558], ""type"": ""Point""}";39.44902272576558, -0.38818829055796156
34;34;14;C/ MASQUEFA 30;2;0,19 €/kWp;7,5 kW dia;Carga lenta nocturna;TIPO 2;MODO 3;"{""coordinates"": [-0.35905511569022563, 39.48839499163611], ""type"": ""Point""}";39.48839499163611, -0.35905511569022563
25;25;4;C/ JOAQUIN BALLESTER (AL LADO DEL IVO);1;0,19 €/kWp;7,5 kW dia;Carga lenta nocturna;TIPO 2;MODO 3;"{""coordinates"": [-0.39019569252156755, 39.48253478020761], ""type"": ""Point""}";39.48253478020761, -0.39019569252156755
4;4;2;C\ General San Martin, 7;2;0,19 €/kWp;7,5 kW dia;Carga lenta nocturna;TIPO 2;MODO 3;"{""coordinates"": [-0.3753308456699827, 39.46540065278635], ""type"": ""Point""}";39.46540065278635, -0.3753308456699827
6;6;3;"Mercado Rojas Clemente
c\ Simon Ortiz (en frente del nº1)";2;0,07€/kWp;"Según produccion
FV";Carga depende de la disponibilidad del sol;TIPO 2;MODO 3;"{""coordinates"": [-0.3854949494421218, 39.47281834145527], ""type"": ""Point""}";39.47281834145527, -0.3854949494421218
8;8;5;C\ Pintor Vilar, 1;2;0,19 €/kWp;7,5 kW dia;Carga lenta nocturna;TIPO 2;MODO 3;"{""coordinates"": [-0.3709007274814385, 39.48221775323359], ""type"": ""Point""}";39.48221775323359, -0.3709007274814385
12;12;6;C\ Amadeo Saboya,2;2;0,19 €/kWp;7,5 kW dia;Carga lenta nocturna;TIPO 2;MODO 3;"{""coordinates"": [-0.3634307282362499, 39.474032552191126], ""type"": ""Point""}";39.474032552191126, -0.3634307282362499
