Carrer / Calle;Tipus Carrer / Tipo Calle;Núm. Finca;OBJECTID;geo_shape;geo_point_2d
FRAY JUNIPERO SERRA;C;82;37636;"{""coordinates"": [-0.4006838009089826, 39.463406547846894], ""type"": ""Point""}";39.463406547846894, -0.4006838009089826
INDUSTRIA;C;51;37638;"{""coordinates"": [-0.34199324407700993, 39.46760936886299], ""type"": ""Point""}";39.46760936886299, -0.34199324407700993
LUIS OLIAG;C;56ac;37639;"{""coordinates"": [-0.3618440690319778, 39.46133454877257], ""type"": ""Point""}";39.46133454877257, -0.3618440690319778
DOCTOR GOMEZ FERRER;C;2ac;37645;"{""coordinates"": [-0.3614598355736155, 39.47879769067145], ""type"": ""Point""}";39.47879769067145, -0.3614598355736155
EDUARDO PRIMO YUFERA (CIENTIFIC);C;1B;37648;"{""coordinates"": [-0.3486176480853993, 39.452533259805286], ""type"": ""Point""}";39.452533259805286, -0.3486176480853993
PLATA;AV;34;37650;"{""coordinates"": [-0.36393594076011276, 39.45622831913782], ""type"": ""Point""}";39.45622831913782, -0.36393594076011276
AYUNTAMIENTO;PL;19;37655;"{""coordinates"": [-0.37620501830392505, 39.4706161635916], ""type"": ""Point""}";39.4706161635916, -0.37620501830392505
MORA DE RUBIELOS;C;2ac;37657;"{""coordinates"": [-0.38522521160172074, 39.45914314374382], ""type"": ""Point""}";39.45914314374382, -0.38522521160172074
BLASCO IBAxEZ;AV;31ac;37658;"{""coordinates"": [-0.3568517981127198, 39.47701203248575], ""type"": ""Point""}";39.47701203248575, -0.3568517981127198
TRES FORQUES;C;129;37662;"{""coordinates"": [-0.4039276436136617, 39.46354026904669], ""type"": ""Point""}";39.46354026904669, -0.4039276436136617
ALBORAYA;C;28;37663;"{""coordinates"": [-0.37072270297491267, 39.48202936064987], ""type"": ""Point""}";39.48202936064987, -0.37072270297491267
JUAN DE GARAY;C;38;37665;"{""coordinates"": [-0.39381048493640564, 39.45423264601471], ""type"": ""Point""}";39.45423264601471, -0.39381048493640564
PINTOR VILAR;C;12ac;37668;"{""coordinates"": [-0.3709730881749031, 39.48216457200218], ""type"": ""Point""}";39.48216457200218, -0.3709730881749031
GUILLEM DE CASTRO;C;143;37673;"{""coordinates"": [-0.3839740042565696, 39.4762869246064], ""type"": ""Point""}";39.4762869246064, -0.3839740042565696
PE-ARROCHA;CMNO;2ac;37676;"{""coordinates"": [-0.3572270174964424, 39.46351429344431], ""type"": ""Point""}";39.46351429344431, -0.3572270174964424
SAN LAZARO;C;1ac;37678;"{""coordinates"": [-0.39288102573760775, 39.453106334529465], ""type"": ""Point""}";39.453106334529465, -0.39288102573760775
PIO BAROJA (ESCRIPTOR);AV;S/N;37681;"{""coordinates"": [-0.4067386396535425, 39.47846799753486], ""type"": ""Point""}";39.47846799753486, -0.4067386396535425
PRIMERO DE MAYO;AV;33ac;37686;"{""coordinates"": [-0.3896480621188311, 39.44924485849913], ""type"": ""Point""}";39.44924485849913, -0.3896480621188311
ANDREU ALFARO (ESCULTOR);C;2;37687;"{""coordinates"": [-0.3948463654540495, 39.497471222945606], ""type"": ""Point""}";39.497471222945606, -0.3948463654540495
DOCTOR MARCOS SOPENA;C;25ac;37690;"{""coordinates"": [-0.3237713054962958, 39.46305277670695], ""type"": ""Point""}";39.46305277670695, -0.3237713054962958
ALAMEDA;PSO;52;37693;"{""coordinates"": [-0.3468447631747738, 39.45584505716695], ""type"": ""Point""}";39.45584505716695, -0.3468447631747738
SAGUNTO;C;142;37703;"{""coordinates"": [-0.3752530285435467, 39.48809578822851], ""type"": ""Point""}";39.48809578822851, -0.3752530285435467
LUIS LAMARCA;C;S/N;37706;"{""coordinates"": [-0.40457216221644765, 39.470631432789254], ""type"": ""Point""}";39.470631432789254, -0.40457216221644765
CRONISTA RIVELLES;C;S/N;37709;"{""coordinates"": [-0.37390863262006596, 39.48094096559961], ""type"": ""Point""}";39.48094096559961, -0.37390863262006596
LUIS CANO;PL;6;37712;"{""coordinates"": [-0.4186700323446933, 39.501374216002105], ""type"": ""Point""}";39.501374216002105, -0.4186700323446933
JOSE BALLESTER GOZALVO;C;S/N;37717;"{""coordinates"": [-0.32531133841914694, 39.482970931436824], ""type"": ""Point""}";39.482970931436824, -0.32531133841914694
SANTIAGO RUSIOOL;C;29Bac;37726;"{""coordinates"": [-0.3636265400750907, 39.49334296301294], ""type"": ""Point""}";39.49334296301294, -0.3636265400750907
JOSE BALLESTER GOZALVO;C;9;37728;"{""coordinates"": [-0.32491240824398077, 39.46802958079855], ""type"": ""Point""}";39.46802958079855, -0.32491240824398077
SETMANA SANTA MARINERA;PL;S/N;37730;"{""coordinates"": [-0.3291959057524063, 39.46321375894623], ""type"": ""Point""}";39.46321375894623, -0.3291959057524063
JORGE JUAN;C;21;37731;"{""coordinates"": [-0.3686445631642671, 39.468382214843096], ""type"": ""Point""}";39.468382214843096, -0.3686445631642671
CIRILO AMOROS;C;60ac;37732;"{""coordinates"": [-0.3686138434707708, 39.46844419340479], ""type"": ""Point""}";39.46844419340479, -0.3686138434707708
BLASCO IBAxEZ;AV;127;37733;"{""coordinates"": [-0.34280769079786166, 39.472888014323374], ""type"": ""Point""}";39.472888014323374, -0.34280769079786166
VICENTE PUCHOL;C;3;37738;"{""coordinates"": [-0.3636478129899723, 39.42895299731572], ""type"": ""Point""}";39.42895299731572, -0.3636478129899723
MARATO;PL;S/N;37740;"{""coordinates"": [-0.3558018798471213, 39.45619066448455], ""type"": ""Point""}";39.45619066448455, -0.3558018798471213
GENERAL AVILES;AV;41ac;37741;"{""coordinates"": [-0.39711452327509994, 39.48523240408152], ""type"": ""Point""}";39.48523240408152, -0.39711452327509994
OEST;AV;31;37745;"{""coordinates"": [-0.37961622198492256, 39.471464635993286], ""type"": ""Point""}";39.471464635993286, -0.37961622198492256
SU-SSA;C;18;37747;"{""coordinates"": [-0.3366485960467134, 39.45339916696952], ""type"": ""Point""}";39.45339916696952, -0.3366485960467134
MENENDEZ PIDAL;AV;S/N;37749;"{""coordinates"": [-0.3891723857668096, 39.47960795902399], ""type"": ""Point""}";39.47960795902399, -0.3891723857668096
PROFESSOR LOPEZ PITERO;AV;S/N;37750;"{""coordinates"": [-0.35440778176089394, 39.45547988313599], ""type"": ""Point""}";39.45547988313599, -0.35440778176089394
SANTO DOMINGO SAVIO;C;1;37751;"{""coordinates"": [-0.374065523738658, 39.49238279817798], ""type"": ""Point""}";39.49238279817798, -0.374065523738658
(Sin Asignar);;S/N;37752;"{""coordinates"": [-0.3759767539515604, 39.444497931142045], ""type"": ""Point""}";39.444497931142045, -0.3759767539515604
MICER MASCO;C;42;37756;"{""coordinates"": [-0.3605424867924096, 39.47480210838303], ""type"": ""Point""}";39.47480210838303, -0.3605424867924096
PIO XII;AV;8;37758;"{""coordinates"": [-0.3917664851788611, 39.480397674053485], ""type"": ""Point""}";39.480397674053485, -0.3917664851788611
VALLE DE LA BALLESTERA;C;46ac;37761;"{""coordinates"": [-0.40206431251164865, 39.47837769909825], ""type"": ""Point""}";39.47837769909825, -0.40206431251164865
CAMPANAR;AV;8;37769;"{""coordinates"": [-0.3902602211960648, 39.48738036846465], ""type"": ""Point""}";39.48738036846465, -0.3902602211960648
EDUARDO PRIMO YUFERA (CIENTIFIC);C;1B;37774;"{""coordinates"": [-0.34810111659698967, 39.45237296536485], ""type"": ""Point""}";39.45237296536485, -0.34810111659698967
SAN LAZARO;C;1ac;37779;"{""coordinates"": [-0.393156070539021, 39.45317834951309], ""type"": ""Point""}";39.45317834951309, -0.393156070539021
