Nom / Nombre;Adreça / Direccion;Id. Aparcament / Id. Aparcamiento;Portal;Tipus / Tipo;Places Totals / Plazas Totales;Places lliures / Plazas Libres;Data Última Modificació / Fecha Ultima Modificación;objectid;ocupacion;geo_shape;geo_point_2d
CONDE ALTEA - SALAMANCA - CANOVAS;Salamanca, C. Altea, Pl. Canov;74.0;S/N;0;399;-1;;636;-1.0;"{""coordinates"": [-0.36538984652184026, 39.4678947721927], ""type"": ""Point""}";39.4678947721927, -0.36538984652184026
MARTI GRAJALES (MERCADO DEL CABAÑAL);Calle Martí Grajales;76.0;S/N;0;369;-1;;637;-1.0;"{""coordinates"": [-0.3331683457411016, 39.468412338176336], ""type"": ""Point""}";39.468412338176336, -0.3331683457411016
INTERIOR HOSPITAL GENERAL UNIVERSITARIO DE VALENCIA;Casa Misericordia;11.0;1acc;0;263;-1;;640;-1.0;"{""coordinates"": [-0.41003739916241133, 39.46857562682237], ""type"": ""Point""}";39.46857562682237, -0.41003739916241133
EXPLORADOR ANDRÉS - ENCARNA MÁÑEZ;Calle Explorador Andrés (entre Actriz Encarna Máñez y calle Impresor Lambert Palmart);94.0;;0;617;-1;;673;-1.0;"{""coordinates"": [-0.3451930979828903, 39.4715981587251], ""type"": ""Point""}";39.4715981587251, -0.3451930979828903
APARCAMIENTOS LA FE;Av. Pianista Martínez Carrasco;80.0;S/N;0;977;-1;;674;-1.0;"{""coordinates"": [-0.37639609443946365, 39.44454573895219], ""type"": ""Point""}";39.44454573895219, -0.37639609443946365
AVINGUDA DE L’OEST;C. Hospital;75.0;1;0;270;6;2024-03-08T11:00:35+01:00;709;43.7;"{""coordinates"": [-0.3798712802433029, 39.47122430252716], ""type"": ""Point""}";39.47122430252716, -0.3798712802433029
REGNE;Maestro Gozalbo;8.0;23;0;192;39;2024-03-08T10:59:04+01:00;708;58.33;"{""coordinates"": [-0.36876652001024524, 39.464486259601976], ""type"": ""Point""}";39.464486259601976, -0.36876652001024524
GLORIETA - PAZ;Pl. Tetuán, calle de la Paz y calle General Tovar;6.0;S/N;0;372;43;2024-03-08T11:00:01+01:00;702;31.18;"{""coordinates"": [-0.36982637018307707, 39.47368117165146], ""type"": ""Point""}";39.47368117165146, -0.36982637018307707
PROFESOR TIERNO GALVÁN;C. Padre Urbano - Pl. Profesor Tierno Galván;79.0;S/N;0;375;64;2024-03-08T11:00:01+01:00;616;71.73;"{""coordinates"": [-0.37126764227836423, 39.48875134162354], ""type"": ""Point""}";39.48875134162354, -0.37126764227836423
PRIMADO REIG - A. CATALUÑA;Pl. Nelson Mandela;12.0;S/N;0;603;-1;;641;-1.0;"{""coordinates"": [-0.3555432220290346, 39.47943785905445], ""type"": ""Point""}";39.47943785905445, -0.3555432220290346
