OBJECTID;equipamien;x;y;identifica;codvia;numportal;telefono;geo_shape;geo_point_2d
21857;GRUPO ESPAI. GRUPO DE ESPECALISTAS EN PSICOLOGÍA APLICADA E INVESTIGACIÓN;726042.388;4372402.745;009643;59250;19;963514717;"{""coordinates"": [-0.3722085658280781, 39.47154269447517], ""type"": ""Point""}";39.47154269447517, -0.3722085658280781
21886;CENTRO MUNICIPAL DE SERVICIOS SOCIALES SANT MARCEL.LÍ;724627.59210331;4369157.7826894;003264;67020;S/N;962082865;"{""coordinates"": [-0.3897316815263893, 39.44270429378943], ""type"": ""Point""}";39.44270429378943, -0.3897316815263893
21947;CÁRITAS PARROQUIAL NUESTRA SEÑORA DE LOURDES;727822.359;4372645.496;009556;63600;21;963690557;"{""coordinates"": [-0.3514537632613515, 39.47325840709569], ""type"": ""Point""}";39.47325840709569, -0.3514537632613515
21970;MISIÓN URBANA;725272.758;4372380.139;005460;65220;15;963924849;"{""coordinates"": [-0.3811545358520682, 39.47154098740297], ""type"": ""Point""}";39.47154098740297, -0.3811545358520682
21997;INSTITUCIÓN VILLA TERESITA;725222.99;4372600.72;009650;8340;S/N;963926284;"{""coordinates"": [-0.3816580944520649, 39.47353953353774], ""type"": ""Point""}";39.47353953353774, -0.3816580944520649
22008;DIRECCIÓN GENERAL DE SERVICIOS SOCIALES;723309.73;4372416.28;003494;17160;77;963176708;"{""coordinates"": [-0.40394103986215674, 39.472377875576385], ""type"": ""Point""}";39.472377875576385, -0.40394103986215674
22012;ASDU - APOYO EN EL DUELO;723108.862;4371737.944;001984;73920;10;627344338;"{""coordinates"": [-0.4065007739895166, 39.46632397583602], ""type"": ""Point""}";39.46632397583602, -0.4065007739895166
22025;ASOCIACIÓN ASPERGER VALENCIA;723634.52;4370773.25;009491;81341;S/N;963256912;"{""coordinates"": [-0.4007195184981621, 39.45750405001391], ""type"": ""Point""}";39.45750405001391, -0.4007195184981621
23550;CENTRO PSICOLÓGICO CONDUCTUAL;725087.569;4371216.196;009586;44220;31;963326238;"{""coordinates"": [-0.38369791860400704, 39.461112531729086], ""type"": ""Point""}";39.461112531729086, -0.38369791860400704
23596;CENTRO MUNICIPAL DE SERVICIOS SOCIALES SALVADOR ALLENDE;726108.58490323;4375145.2639709;003270;68370;3;962084650;"{""coordinates"": [-0.3705096500948863, 39.496210994796485], ""type"": ""Point""}";39.496210994796485, -0.3705096500948863
23729;FUNDACIÓN PROYECTO SENIOR (F.P.S.);724429.593;4372866.79;009632;25320;11;962057750;"{""coordinates"": [-0.3907832264781883, 39.47614172214926], ""type"": ""Point""}";39.47614172214926, -0.3907832264781883
23744;CREA ESPAÑA;725281.149;4373712.72;010193;24690;3;615450057;"{""coordinates"": [-0.3806069356346396, 39.48353359370824], ""type"": ""Point""}";39.48353359370824, -0.3806069356346396
23783;FUNDACIÓN INICIATIVA SOLIDARIA ÁNGEL TOMÁS;725832.483;4374618.517;009625;66330;192;963667878;"{""coordinates"": [-0.3738958802346723, 39.491542238888904], ""type"": ""Point""}";39.491542238888904, -0.3738958802346723
23929;ALCE. ASOCIACIÓN DE EPILEPSIA DE LA COMUNIDAD VALENCIANA;725129.808;4373806.387;009471;57450;3;600315079;"{""coordinates"": [-0.38234249943022697, 39.48441300024276], ""type"": ""Point""}";39.48441300024276, -0.38234249943022697
23931;ASOCIACIÓN VALENCIANA DE ESCLEROSIS LATERAL AMIOTRÓFICA - ADELA CV;723640.434;4371985.158;000483;18390;41;963794016;"{""coordinates"": [-0.4002446831826657, 39.46841130497051], ""type"": ""Point""}";39.46841130497051, -0.4002446831826657
23932;ASOCIACIÓN VALENCIANA DE FIBROSIS QUÍSTICA;728133.635;4372550.117;000474;29280;4;963567616;"{""coordinates"": [-0.347871279439709, 39.47231745530598], ""type"": ""Point""}";39.47231745530598, -0.347871279439709
23938;ASOCIACIÓN VALENCIANA SÍNDROME DE RETT;726616.507;4370379.27;000491;71640;28;963740333;"{""coordinates"": [-0.366227975676957, 39.45317823727512], ""type"": ""Point""}";39.45317823727512, -0.366227975676957
23955;ASOCIACIÓN DE JURISTAS SOLIDARIOS - AJUSO;726170.943;4371546.428;001496;59190;12;626126124;"{""coordinates"": [-0.37100582553895123, 39.4638011087331], ""type"": ""Point""}";39.4638011087331, -0.37100582553895123
23960;CENTRO SOCIAL SENABRE;724649.751;4370323.765;003486;43290;30;963570859;"{""coordinates"": [-0.3890822466170426, 39.45319385830225], ""type"": ""Point""}";39.45319385830225, -0.3890822466170426
24005;ASOCIACIÓN DE ENFERMOS DE FIEBRE MEDITERRÁNEA FAMILIAR DE ESPAÑA;726116.38;4370548.094;009501;11070;4;645378068;"{""coordinates"": [-0.37197761751360897, 39.45482929234234], ""type"": ""Point""}";39.45482929234234, -0.37197761751360897
