Òptica / Óptica;Tipus Regulador / Tipo Regulador;Cod. Regulador;Cod. Encreuament / Cod. Cruce;Descripció / Descripción;OBJECTID;geo_shape;geo_point_2d
Led;;;0101;MARQUES DE SOTELO - SAN PABLO;117051;"{""coordinates"": [-0.37709081528359345, 39.46850491201355], ""type"": ""Point""}";39.46850491201355, -0.37709081528359345
Led;;;0102;PL. AYUNTAMIENTO - PERIODISTA AZZATI;117052;"{""coordinates"": [-0.37663801122955093, 39.4694505249605], ""type"": ""Point""}";39.4694505249605, -0.37663801122955093
Led;;;0105;PL. AYUNTAMIENTO - BARCAS;117055;"{""coordinates"": [-0.3758396391266729, 39.470179419131185], ""type"": ""Point""}";39.470179419131185, -0.3758396391266729
Led;;;0111;BARON DE CARCER - PL. SAN AGUSTIN;117059;"{""coordinates"": [-0.37944629061737506, 39.46896506881835], ""type"": ""Point""}";39.46896506881835, -0.37944629061737506
Led;;;0112;SAN VICENTE - PERIODISTA AZZATI;117060;"{""coordinates"": [-0.3785024016270675, 39.46969160114727], ""type"": ""Point""}";39.46969160114727, -0.3785024016270675
Led;;;0116;SAN VICENTE - PL. AYUNTAMIENTO;117061;"{""coordinates"": [-0.37662151108211117, 39.4717546928911], ""type"": ""Point""}";39.4717546928911, -0.37662151108211117
Led;;;0118;BARON DE CARCER - CALABAZAS;117062;"{""coordinates"": [-0.3796700187770373, 39.47278678227597], ""type"": ""Point""}";39.47278678227597, -0.3796700187770373
Led;;;0119;BARON DE CARCER - LINTERNA;117063;"{""coordinates"": [-0.3796561036050946, 39.47252269087954], ""type"": ""Point""}";39.47252269087954, -0.3796561036050946
Led;;;0120;BARON DE CARCER - GARRIGUES;117064;"{""coordinates"": [-0.3795796317002538, 39.47129306713362], ""type"": ""Point""}";39.47129306713362, -0.3795796317002538
Led;;;0201;CONDE DE TRENOR - PTE. DE LA TRINIDAD;117071;"{""coordinates"": [-0.3730940663136047, 39.47836133063762], ""type"": ""Point""}";39.47836133063762, -0.3730940663136047
Led;;;0206;POETA QUINTANA - ALFONSO EL MAGNANIMO;117075;"{""coordinates"": [-0.36992527444047424, 39.47279312601207], ""type"": ""Point""}";39.47279312601207, -0.36992527444047424
Led;;;0208;JUSTICIA - CIUDADELA;117077;"{""coordinates"": [-0.36707812265157097, 39.4727009063205], ""type"": ""Point""}";39.4727009063205, -0.36707812265157097
Led;;;0210;COLON - SORNI;117079;"{""coordinates"": [-0.3703732790413988, 39.470222246966856], ""type"": ""Point""}";39.470222246966856, -0.3703732790413988
Led;;;1107;CONSTITUCION - MALAGA;117080;"{""coordinates"": [-0.3788394283665118, 39.484732535080084], ""type"": ""Point""}";39.484732535080084, -0.3788394283665118
Led;;;1109;CONSTITUCION - ACTOR MORA;117082;"{""coordinates"": [-0.3778320810125677, 39.48614229384665], ""type"": ""Point""}";39.48614229384665, -0.3778320810125677
Led;;;1110;RICARDO SAMPER (DIPUTAT) - POETA FDEZ. HEREDIA;117083;"{""coordinates"": [-0.38008658767772696, 39.486062430229], ""type"": ""Point""}";39.486062430229, -0.38008658767772696
Led;;;1112;REUS - POETA HERNANDEZ HEREDIA;117085;"{""coordinates"": [-0.379956543848337, 39.4855687896694], ""type"": ""Point""}";39.4855687896694, -0.379956543848337
Hal7gena/Incandescencia;;;1117;ALMASSORA - POETA BODRIA;117090;"{""coordinates"": [-0.3728737891307832, 39.48154780144002], ""type"": ""Point""}";39.48154780144002, -0.3728737891307832
Hal8gena/Incandescencia;;;1118;ALMASSORA - MADRE TERESA JORNET;117091;"{""coordinates"": [-0.3739405463284529, 39.48160290427194], ""type"": ""Point""}";39.48160290427194, -0.3739405463284529
Hal9gena/Incandescencia;;;1119;ALMASSORA - PINTOR VILAR;117092;"{""coordinates"": [-0.3723734405800185, 39.48234727830912], ""type"": ""Point""}";39.48234727830912, -0.3723734405800185
Led;;;1028;FCO. TdRREGA - REUS (P.P.);117098;"{""coordinates"": [-0.3820370316966046, 39.48587819754782], ""type"": ""Point""}";39.48587819754782, -0.3820370316966046
Led;;;1030;REUS - DOCTOR OLORIZ;117100;"{""coordinates"": [-0.3817102528032573, 39.48566984876856], ""type"": ""Point""}";39.48566984876856, -0.3817102528032573
Led;;;1102;PL. STA.MONICA - SAGUNTO;117105;"{""coordinates"": [-0.37484389172678345, 39.48176205076165], ""type"": ""Point""}";39.48176205076165, -0.37484389172678345
Led;;;1106;CONSTITUCION - LERIDA;117108;"{""coordinates"": [-0.3789160722024189, 39.484047794639054], ""type"": ""Point""}";39.484047794639054, -0.3789160722024189
Led;;;1605;AVDA. DEL PUERTO - NOGUERA;117112;"{""coordinates"": [-0.34145149047919426, 39.462488003580866], ""type"": ""Point""}";39.462488003580866, -0.34145149047919426
Led;;;1608;ISLAS CANARIAS - DAMA DE ELCHE;117114;"{""coordinates"": [-0.3429157629043557, 39.46230149733226], ""type"": ""Point""}";39.46230149733226, -0.3429157629043557
Led;;;1609;ISLAS CANARIAS - SAMUEL ROS;117115;"{""coordinates"": [-0.3452828650080125, 39.463385655360916], ""type"": ""Point""}";39.463385655360916, -0.3452828650080125
Led;;;1610;ISLAS CANARIAS - PINTOR MAELLA;117116;"{""coordinates"": [-0.3462769109841441, 39.4636059205407], ""type"": ""Point""}";39.4636059205407, -0.3462769109841441
Led;;;1613;MAESTRO VALLS - MARINO ALBESA;117119;"{""coordinates"": [-0.34197751530280945, 39.46483861906494], ""type"": ""Point""}";39.46483861906494, -0.34197751530280945
Hal5gena/Incandescencia;;;1615;MARINO ALBESA -  CONSERVA;117121;"{""coordinates"": [-0.344188956626436, 39.465711587561685], ""type"": ""Point""}";39.465711587561685, -0.344188956626436
Led;;;1618;ISLAS CANARIAS - TRAFALGAR;117124;"{""coordinates"": [-0.34441691233862204, 39.46287480337171], ""type"": ""Point""}";39.46287480337171, -0.34441691233862204
Led;;;1707;GENERAL AVILES - APARICIO ALBITANA;117130;"{""coordinates"": [-0.3982738290433378, 39.48507497431868], ""type"": ""Point""}";39.48507497431868, -0.3982738290433378
Led;;;1709;GENERAL AVILES - PIO XII;117132;"{""coordinates"": [-0.39669830972532333, 39.48556030684931], ""type"": ""Point""}";39.48556030684931, -0.39669830972532333
Led;;;1710;VICENTE TORRENT - RASCAIA;117133;"{""coordinates"": [-0.3959614395977122, 39.482492242654104], ""type"": ""Point""}";39.482492242654104, -0.3959614395977122
Led;;;1712;PIO BAROJA- GRAL. AVILES SUR;117134;"{""coordinates"": [-0.406989219421915, 39.48024150870213], ""type"": ""Point""}";39.48024150870213, -0.406989219421915
Hal4gena/Incandescencia;;;1124;PLATERO SUAREZ - MILAGROSA;117139;"{""coordinates"": [-0.3729834597639049, 39.48547441370157], ""type"": ""Point""}";39.48547441370157, -0.3729834597639049
Hal7gena/Incandescencia;;;1127;ALMASSORA - COFRENTES;117140;"{""coordinates"": [-0.3694665869015366, 39.486702203713854], ""type"": ""Point""}";39.486702203713854, -0.3694665869015366
Led;;;1206;Ce DE MONCADA - PINTOR JACOMART;117149;"{""coordinates"": [-0.38053642877605237, 39.495762413057065], ""type"": ""Point""}";39.495762413057065, -0.38053642877605237
Led;;;1208;CONSTITUCION - ECONOMISTA GAY;117151;"{""coordinates"": [-0.37559400532310794, 39.489935991534075], ""type"": ""Point""}";39.489935991534075, -0.37559400532310794
Led;;;1213;CAMINO DE MONCADA - DOMINGO GOMEZ;117156;"{""coordinates"": [-0.3795409984372411, 39.493016795834926], ""type"": ""Point""}";39.493016795834926, -0.3795409984372411
Led;;;1214;AVDA. CONSTITUCIAN - ALCUDIA DE CRESPINS;117157;"{""coordinates"": [-0.3731862249276294, 39.49311942506668], ""type"": ""Point""}";39.49311942506668, -0.3731862249276294
