"barrio","metros_carril_bici","estaciones_valenbisi","Total_poblacion","X0_15_años","X16_64_años","X65_o_más","paradas_emt","paradas_metro","plazas_mob","paradas_taxis","plazas_parkings","superficie_zonas_verdes","amenity","monuments","shop","sport","distrito","superficie_barrio","RENTA_BRUTA","SALARIO","Precio_alquiler/m2","Precio_venta/m2","Cargadores","Hospitales","Universidad","Estadio","otros_servicios","indice_ricos","eco_friendly"
"AIORA",0.0381687368177982,1.07647952480628e-05,0.0378367174690483,0.00476265298332151,0.025314184939766,0.00775987954596072,1.23026231406432e-05,3.07565578516081e-06,0.00011379926405095,1.5378278925804e-06,NA,0.0957297863131302,3.84456973145101e-05,6.15131157032162e-06,1.38404510332236e-05,3.69078694219297e-05,"CAMINS AL GRAU",650267.8256941,15023.3125,9145.1875,"9.4",1894,NA,NA,NA,NA,-1.53802651926875,-0.118892499949829,-0.553959944817194
"ALBORS",0.032013605220713,1.5644911365303e-05,0.0348529512940538,0.00418110256237723,0.0229628186564235,0.00770903007525306,2.34673670479545e-05,NA,8.99582403504923e-05,3.91122784132575e-06,NA,NA,4.30235062545833e-05,NA,7.82245568265151e-06,3.91122784132575e-05,"CAMINS AL GRAU",255674.187382814,16692.8333333333,9702.16666666667,"9.3",1864,NA,1,NA,NA,-1.25630141558975,-0.0856456964572822,-0.787881313395492
"ARRANCAPINS",0.032842715672133,1.03073758159705e-05,0.0261979135322583,0.00336593083590414,0.0163062685408653,0.00652571415548887,2.51958075501501e-05,1.14526397955228e-06,5.84084629571661e-05,1.14526397955228e-06,0.00044779821600494,0.301318953020204,5.95537269367184e-05,5.72631989776138e-05,1.14526397955228e-05,4.92463511207479e-05,"EXTRAMURS",873161.138265201,23532.8235294118,12224.7058823529,"8.4",2263,NA,NA,NA,NA,-3.55570406331379,0.10528186302042,0.682742623385493
"BENICALAP",0.0482037414604504,6.40810936429171e-06,0.0248896793263058,0.00378777518969316,0.0165492337109817,0.00455267042563088,2.15545496798903e-05,2.91277698376896e-06,7.86449785617619e-05,1.16511079350758e-06,NA,0.151930447473389,3.14579914247048e-05,1.16511079350758e-06,9.32088634806067e-06,0.000132240075063111,"BENICALAP",1716574.94818924,14632.7407407407,9136.7037037037,"9.8",1602,NA,NA,NA,NA,-1.40628076996039,-0.142784126522868,0.987100429590792
"BENIFERRI",0.025455611960541,3.75082796900216e-06,0.00224862136741679,0.00041821731854374,0.00146469832189534,0.00036570572697771,5.62624195350323e-06,1.87541398450108e-06,1.50033118760086e-05,5.62624195350323e-06,0.00105960890124311,0.167924568172227,5.62624195350323e-06,NA,2.06295538295119e-05,0.000151908532744587,"POBLATS DE L'OEST",533215.603735638,17503,11172,NA,NA,NA,NA,NA,NA,-1.3251028819059,0.0101671569430917,-1.25481864294981
"BENIMACLET",0.0388923001120261,6.73717002932896e-06,0.0310583538352065,0.00364480898586697,0.0201549178597405,0.00725862698959902,2.69486801173158e-05,4.04230201759738e-06,0.0001024049844458,1.34743400586579e-06,0.000812502705537073,0.0864917888365252,0.000136090834592445,NA,1.34743400586579e-05,9.16255123988739e-05,"BENIMACLET",742151.374870082,18306.9473684211,10494.6315789474,"8.9",2039,1,NA,NA,NA,-0.110814937400322,-0.0339748504652467,-0.558834779262046
"BENIMAMET",0.0307505498693686,1.35575453475221e-06,0.0091913378683526,0.00130559161696638,0.00608327059743316,0.00180247565395306,1.35575453475221e-05,2.03363180212831e-06,4.81292859837034e-05,2.03363180212831e-06,NA,0.0383949684241826,1.42354226148982e-05,6.77877267376105e-07,2.71150906950442e-06,3.38938633688052e-05,"POBLATS DE L'OEST",1475193.29549249,12343.3333333333,7351.55555555556,NA,NA,NA,NA,NA,NA,-3.77068791682048,-0.199114587152798,-1.83096330793628
"BETERO",0.0472973808084399,NA,0.0307294889664138,0.0037460635643254,0.0204680206059162,0.00651540479617224,2.35354778910496e-05,NA,9.80644912127068e-05,3.92257964850827e-06,NA,0.163257764970914,3.13806371880662e-05,NA,NA,3.53032168365744e-05,"POBLATS MARITIMS",254934.275300259,17330.2,10755.4,"11.5",2099,NA,NA,NA,NA,-0.689994049660664,0.140631937383121,0.991072755558335
"CABANYAL-CANYAMELAR",0.0471330450990721,8.90679902502183e-06,NA,NA,NA,NA,2.82048635792358e-05,5.93786601668122e-06,9.50058562668995e-05,3.71116626042576e-06,0.000550737073047183,0.131085814650759,9.12946900064737e-05,7.42233252085152e-07,5.93786601668122e-06,5.3440794150131e-05,"POBLATS MARITIMS",1347285.36776102,14930.0666666667,8483.26666666667,"11.5",2094,1,NA,NA,NA,-2.00646847060681,0.0255062711745061,0.693086798974275
"CAMI DE VERA",0.0321290956192176,2.42171535720111e-06,0.00637758739318913,0.000713195172695727,0.00410117495742008,0.00156321726307332,NA,NA,2.66388689292122e-05,NA,NA,0.248758601491698,8.47600375020389e-06,NA,1.21085767860056e-06,5.69103108942261e-05,"BENIMACLET",825860.889907183,18914.3333333333,11173,"8.9",2068,NA,NA,NA,NA,-2.94873590368343,0.00289872320278754,0.149311584399315
"CAMI FONDO",0.0330316236347337,6.37086335126115e-06,0.029032024291697,0.00396267700448443,0.0190998483270809,0.00596949896013169,5.09669068100892e-05,NA,0.000101933813620178,NA,NA,0.0676585687903934,0.000108304676971439,NA,1.91125900537834e-05,0.000146529857079006,"CAMINS AL GRAU",156964.59723972,17303.75,10586.75,"10.3",1893,NA,NA,NA,NA,1.80087633009505,0.0242706251626338,-1.33675814246712
"CAMI REAL",0.0236674316741097,1.35550584807086e-06,0.00263103685110555,0.000457483223723916,0.00179604524869389,0.000377508378687735,6.09977631631888e-06,NA,1.69438231008858e-05,6.77752924035432e-07,NA,0.264892952830008,6.77752924035432e-07,3.38876462017716e-06,NA,5.08314693026574e-05,"JESUS",1475463.9405255,13540,9185,"7.9",1261,NA,NA,NA,NA,-4.05719951552223,-0.334288449816134,-0.595729438324982
