"barrio","otros_servicios","indice_ricos","eco_friendly","Universidad","Estadio","Hospitales","Cargadores","paradas_metro","paradas_emt","estaciones_valenbisi","Distrito"
"AIORA",-1.53802651926875,-0.118892499949829,-0.553959944817194,NA,NA,NA,NA,3.07565578516081e-06,1.23026231406432e-05,1.07647952480628e-05,"CAMINS AL GRAU"
"ALBORS",-1.25630141558975,-0.0856456964572822,-0.787881313395492,NA,NA,1,NA,NA,2.34673670479545e-05,1.5644911365303e-05,"CAMINS AL GRAU"
"ARRANCAPINS",-3.55570406331379,0.10528186302042,0.682742623385493,NA,NA,NA,NA,1.14526397955228e-06,2.51958075501501e-05,1.03073758159705e-05,"EXTRAMURS"
"BENICALAP",-1.40628076996039,-0.142784126522868,0.987100429590792,NA,NA,NA,NA,2.91277698376896e-06,2.15545496798903e-05,6.40810936429171e-06,"BENICALAP"
"BENIFERRI",-1.3251028819059,0.0101671569430917,-1.25481864294981,NA,NA,NA,NA,1.87541398450108e-06,5.62624195350323e-06,3.75082796900216e-06,"POBLATS DE L'OEST"
"BENIMACLET",-0.110814937400322,-0.0339748504652467,-0.558834779262046,NA,NA,NA,1,4.04230201759738e-06,2.69486801173158e-05,6.73717002932896e-06,"BENIMACLET"
"BENIMAMET",-3.77068791682048,-0.199114587152798,-1.83096330793628,NA,NA,NA,NA,2.03363180212831e-06,1.35575453475221e-05,1.35575453475221e-06,"POBLATS DE L'OEST"
"BETERO",-0.689994049660664,0.140631937383121,0.991072755558335,NA,NA,NA,NA,NA,2.35354778910496e-05,NA,"POBLATS MARITIMS"
"CABANYAL-CANYAMELAR",-2.00646847060681,0.0255062711745061,0.693086798974275,NA,NA,NA,1,5.93786601668122e-06,2.82048635792358e-05,8.90679902502183e-06,"POBLATS MARITIMS"
"CAMI DE VERA",-2.94873590368343,0.00289872320278754,0.149311584399315,NA,NA,NA,NA,NA,NA,2.42171535720111e-06,"BENIMACLET"
"CAMI FONDO",1.80087633009505,0.0242706251626338,-1.33675814246712,NA,NA,NA,NA,NA,5.09669068100892e-05,6.37086335126115e-06,"CAMINS AL GRAU"
"CAMI REAL",-4.05719951552223,-0.334288449816134,-0.595729438324982,NA,NA,NA,NA,NA,6.09977631631888e-06,1.35550584807086e-06,"JESUS"
"CAMPANAR",3.94666669003344,-0.0704262060941341,3.76099667063589,NA,NA,1,1,2.02745476998708e-06,3.24392763197933e-05,8.10981907994833e-06,"CAMPANAR"
"CIUTAT DE LES ARTS I DE LES CIENCIES",0.661828577784415,0.351371799862168,1.47663422521129,NA,NA,NA,NA,2.01725936211783e-06,1.81553342590605e-05,7.0604077674124e-06,"QUATRE CARRERES"
"CIUTAT FALLERA",-1.34517574517209,-0.43600875995171,0.980442303231473,NA,NA,NA,NA,NA,1.20913366632619e-05,4.03044555442062e-06,"BENICALAP"
"CIUTAT JARDI",3.71236958211711,-0.00273096613099846,1.31768452023314,NA,NA,NA,NA,NA,2.75507595546727e-05,8.2652278664018e-06,"ALGIROS"
"CIUTAT UNIVERSITARIA",3.29712566893447,0.276821953895081,1.99786830310167,1,NA,1,NA,NA,3.61575621492564e-05,1.80787810746282e-05,"EL PLA DEL REAL"
"EL BOTANIC",0.382590665079266,0.204067940337607,-0.828827842232629,1,NA,NA,1,NA,2.1644935857663e-05,5.41123396441576e-06,"EXTRAMURS"
"EL CALVARI",3.93295951142468,-0.297369723270902,0.134670541731559,NA,NA,NA,NA,NA,4.27568101552946e-05,1.06892025388237e-05,"CAMPANAR"
"EL CARME",4.32527652300613,0.274916913526523,2.65502108426096,1,NA,NA,NA,NA,1.04293922965013e-05,1.30367403706267e-05,"CIUTAT VELLA"
"EL GRAU",-5.48911871817494,-0.0610885957932861,-2.34226871012527,NA,NA,NA,NA,1.91584622048785e-07,2.87376933073178e-06,5.74753866146355e-07,"POBLATS MARITIMS"
"EL MERCAT",10.5586169978331,0.445602142967423,1.58389243206834,NA,NA,NA,NA,NA,2.31811390990787e-05,1.15905695495394e-05,"CIUTAT VELLA"
"EL PILAR",2.26324823669265,0.218959733706497,1.65824391096054,1,NA,NA,NA,NA,3.09825268339325e-05,NA,"CIUTAT VELLA"
"EL PLA DEL REMEI",-0.413757184593394,1,-0.97664973843201,NA,NA,NA,NA,NA,3.88224027641533e-05,1.55289611056613e-05,"L'EIXAMPLE"
"ELS ORRIOLS",-1.59067762192427,-0.177299266179464,0.255004836588077,NA,NA,NA,NA,5.04817984432191e-06,4.79577085210581e-05,7.57226976648286e-06,"RASCANYA"
"EN CORTS",2.41364945719972,-0.177406571249115,0.665930800437393,NA,NA,NA,NA,NA,3.85125866081518e-05,5.50179808687883e-06,"QUATRE CARRERES"
"EXPOSICIO",0.0720610864811739,0.723870118682884,2.0392943181003,1,NA,1,1,2.62418095896837e-06,2.8865990548652e-05,1.04967238358735e-05,"EL PLA DEL REAL"
"FAVARA",2.52461312067099,-0.240315573332585,-1.39182396989461,NA,NA,1,NA,3.57313938123269e-06,1.42925575249308e-05,7.14627876246539e-06,"PATRAIX"
"JAUME ROIG",-0.525338495615308,0.48342901904172,0.908030621154561,NA,NA,NA,NA,NA,3.14908828062101e-05,5.24848046770169e-06,"EL PLA DEL REAL"
"L'AMISTAT",-0.574560286295654,-0.0828412817563745,1.32913205157904,NA,NA,NA,NA,4.83144370665615e-06,3.86515496532492e-05,9.6628874133123e-06,"ALGIROS"
"L'HORT DE SENABRE",-0.054331663081175,-0.324250736559864,-1.53172665159966,NA,NA,NA,NA,NA,2.58357346166638e-05,4.69740629393888e-06,"JESUS"
"L'ILLA PERDUDA",2.61065478060391,-0.0413043627691843,-1.71109952007323,NA,NA,NA,NA,NA,2.59524409043154e-05,8.65081363477179e-06,"ALGIROS"
"LA CARRASCA",-2.97379605878504,0.278408767772771,0.447683283528364,1,NA,NA,NA,2.0407536847856e-06,8.6732031603388e-06,7.1426378967496e-06,"ALGIROS"
"LA CREU COBERTA",-3.27881165028688,-0.280070437453044,-2.40603974434783,NA,NA,NA,1,NA,2.13692866597436e-05,2.67116083246795e-06,"JESUS"
"LA CREU DEL GRAU",0.204828060578112,-0.179920373416252,-1.26256661882586,NA,NA,NA,NA,NA,4.09112678979729e-05,5.11390848724661e-06,"CAMINS AL GRAU"
"LA FONTETA S.LLUIS",-1.12862790055013,-0.329697655316869,1.76060173068806,NA,NA,NA,NA,NA,3.3544170994478e-05,8.38604274861951e-06,"QUATRE CARRERES"
"LA FONTSANTA",0.259963069734702,-0.525142762647642,0.0180827006380833,NA,NA,1,NA,NA,4.33985118913251e-05,9.29968111956965e-06,"L'OLIVERETA"
"LA GRAN VIA",0.276236124622494,0.61077442649909,0.585957300779973,NA,NA,NA,1,NA,3.63318131379197e-05,1.2822992872207e-05,"L'EIXAMPLE"
"LA LLUM",-0.705194189163519,-0.250619962151692,-0.134265859253903,NA,NA,NA,1,NA,3.42905144466118e-05,5.71508574110197e-06,"L'OLIVERETA"
"LA MALVA-ROSA",-0.11370191991075,-0.183246167596691,-1.04837250801991,NA,NA,1,1,NA,3.29909385625366e-05,8.24773464063416e-06,"POBLATS MARITIMS"
"LA PETXINA",0.429140762280741,0.113713473551734,-1.96204556244537,NA,NA,NA,NA,NA,3.02430812457702e-05,6.04861624915404e-06,"EXTRAMURS"
"LA PUNTA",-5.38445816080494,-0.113184379818459,-2.62733476276797,NA,NA,NA,NA,3.22382703931227e-07,7.2536108384526e-06,1.61191351965613e-07,"QUATRE CARRERES"
"LA RAIOSA",3.04699182037716,-0.254220828351258,-1.39389243325451,NA,NA,1,NA,2.66717305021693e-06,4.0007595753254e-05,1.06686922008677e-05,"JESUS"
"LA ROQUETA",0.327865431652552,0.301840992072827,-1.67024034173491,NA,NA,NA,NA,1.73726089460916e-05,3.47452178921833e-05,8.68630447304581e-06,"EXTRAMURS"
"LA SEU",4.00834223609964,0.677443935205809,0.690178755454663,1,NA,NA,NA,NA,1.35891252989009e-05,4.52970843296697e-06,"CIUTAT VELLA"
"LA VEGA BAIXA",1.43288345766919,0.198042524652033,0.524805932840718,1,NA,NA,NA,NA,2.58693538640502e-05,1.03477415456201e-05,"ALGIROS"
"LA XEREA",-0.82642194503328,0.824583731480851,0.180804521192467,NA,NA,NA,NA,NA,1.92794084933639e-05,9.63970424668193e-06,"CIUTAT VELLA"
"LES TENDETES",-0.541296571991031,-0.201218467881065,1.95163564296027,NA,NA,NA,NA,NA,2.71475930412367e-05,3.87822757731953e-06,"CAMPANAR"
"MALILLA",-4.59909650212945,-0.12102832792021,-0.566506646954185,NA,NA,1,NA,NA,1.15829440200454e-05,2.7958830393213e-06,"QUATRE CARRERES"
"MARXALENES",-1.84555807475602,-0.297045600676036,0.182842875300846,NA,NA,NA,NA,5.13055833913797e-06,3.33486292043968e-05,1.02611166782759e-05,"LA SAIDIA"
"MESTALLA",-2.20867162923348,0.347548641150991,1.48767366056621,1,1,NA,1,2.37418229390685e-06,3.32385521146959e-05,7.12254688172055e-06,"EL PLA DEL REAL"
"MONTOLIVET",1.87596933434658,-0.219485917393726,-0.810697625431575,1,NA,NA,NA,2.11599278679605e-06,4.86678340963092e-05,1.05799639339803e-05,"QUATRE CARRERES"
"MORVEDRE",-2.35542418213295,-0.167844104572262,-0.0728259035333257,NA,NA,NA,NA,2.33871965455363e-06,3.27420751637508e-05,4.67743930910726e-06,"LA SAIDIA"
"NA ROVELLA",1.98763870557976,-0.465417675129105,0.8699011882294,NA,NA,NA,NA,NA,2.79993394785294e-05,5.59986789570588e-06,"QUATRE CARRERES"
"NATZARET",-2.01310777296689,-0.322650282666997,-0.910108712702869,NA,NA,NA,NA,1.09198199391796e-06,1.31037839270156e-05,2.18396398783593e-06,"POBLATS MARITIMS"
"NOU MOLES",0.236428893997224,-0.242293322172691,-0.966441253631133,NA,NA,NA,1,NA,2.43715101989786e-05,1.08317823106572e-05,"L'OLIVERETA"
"PATRAIX",-0.464624110678757,-0.146005046397979,-0.919250608056598,NA,NA,NA,NA,NA,3.38466994159824e-05,4.83524277371177e-06,"PATRAIX"
"PENYA-ROJA",3.04180175663454,0.679893665711807,2.22513397334084,NA,NA,NA,NA,NA,2.74776636683273e-05,6.59463928039855e-06,"CAMINS AL GRAU"
"RUSSAFA",0.55819784469776,0.285260410747396,-1.77692948191725,NA,1,1,1,1.14093092698998e-06,3.19460659557196e-05,7.98651648892989e-06,"L'EIXAMPLE"
"SAFRANAR",0.475608918313768,-0.122183353712158,0.340461562673493,NA,NA,NA,NA,NA,2.04239253426619e-05,6.80797511422065e-06,"PATRAIX"
"SANT ANTONI",1.4093558723687,-0.194304619007042,-1.64484315077912,NA,NA,NA,NA,4.00989109591359e-06,2.0049455479568e-05,4.00989109591359e-06,"LA SAIDIA"
