"distritos","plazas_mob","paradas_taxis","plazas_parkings","plazas_ora","coches","Total","X0...4","X5...9","X10...14","X15...19","X20...24","X25...29","X30..34","X35...39","X40...44","X45...49","X50...54","X55...59","X60...64","X65...69","X70...74","X75...79","X80...84","X85...89","X..90"
"ALGIROS",136,4,617,14060,17271,"35.819","981","1.201","1.346","1.522","2.225","2.737","2.317","2.068","2.245","2.400","2.180","2.477","2.740","2.431","2.506","1.974","1.163","827","479"
"BENICALAP",153,3,NA,17858,18979,"48.706","1.895","2.317","2.633","2.574","2.658","2.757","2.943","3.296","4.138","4.221","3.898","3.555","2.837","2.412","2.238","1.864","1.238","811","421"
"BENIMACLET",98,1,603,11211,12635,"28.317","929","1.094","1.061","1.161","1.688","2.157","1.990","1.867","1.980","1.979","1.694","1.983","2.056","1.908","1.703","1.281","850","591","345"
"CAMINS AL GRAU",177,10,NA,39387,26154,"66.245","2.247","2.854","3.442","3.851","3.905","3.877","4.001","4.075","4.799","5.558","5.646","5.105","4.243","3.466","2.977","2.530","1.778","1.204","687"
"CAMPANAR",141,20,NA,31086,17004,"39.846","1.556","2.055","2.311","2.125","1.771","1.786","2.195","2.678","3.172","3.428","3.003","2.547","2.454","2.421","2.266","1.858","1.116","674","430"
"CIUTAT VELLA",32,20,2112,17818,13994,"28.763","922","1.055","1.153","1.336","1.701","2.103","2.126","2.002","2.109","2.378","2.248","2.062","1.745","1.469","1.367","1.148","814","570","455"
"EL PLA DEL REAL",107,10,991,21985,15556,"30.680","1.359","1.465","1.626","1.547","1.846","1.992","1.888","1.818","1.945","2.045","1.936","1.999","1.877","1.682","1.712","1.612","1.138","745","448"
"EXTRAMURS",89,5,391,23707,21076,"49.335","1.781","2.028","2.134","2.414","2.580","2.964","3.002","3.179","3.427","3.704","3.748","3.571","3.307","2.836","2.513","2.246","1.699","1.296","906"
"JESUS",164,5,NA,19558,22285,"52.585","1.589","2.020","2.372","2.515","2.814","3.241","3.266","3.328","3.926","4.443","3.973","4.069","3.641","3.118","2.866","2.181","1.579","1.054","590"
"L'EIXAMPLE",48,10,965,28438,19784,"43.565","1.652","1.845","2.055","2.217","2.183","2.506","2.583","2.781","2.993","3.350","3.376","3.306","2.805","2.416","2.210","1.907","1.467","1.107","806"
"L'OLIVERETA",160,5,483,19820,19917,"49.584","1.725","1.855","2.185","2.433","2.780","3.249","3.213","3.235","3.574","3.859","3.832","3.777","3.258","2.399","2.316","2.136","1.671","1.296","791"
"LA SAIDIA",154,4,375,16474,19256,"47.499","1.655","1.871","2.006","2.154","2.425","3.022","3.090","3.125","3.412","3.607","3.469","3.493","3.096","2.635","2.486","2.283","1.709","1.184","777"
"PATRAIX",183,10,NA,34050,27027,"58.333","1.836","2.255","2.562","2.944","3.194","3.222","3.420","3.450","4.123","4.547","4.609","4.845","4.386","3.631","3.408","2.536","1.599","1.101","665"
"POBLATS DE L'OEST",79,6,565,9297,6449,"14.758","568","673","735","799","833","780","885","994","1.204","1.301","1.157","1.039","936","843","688","611","344","264","104"
"POBLATS DEL NORD",34,NA,NA,1572,3302,"6.875","224","302","386","451","350","300","350","386","487","584","598","544","446","403","350","284","181","146","103"
"POBLATS DEL SUD",125,2,NA,8521,10732,"21.517","779","964","1.062","1.111","1.013","1.139","1.271","1.398","1.683","1.786","1.624","1.634","1.491","1.277","1.186","894","598","407","200"
"POBLATS MARITIMS",298,12,742,20848,23543,"55.897","1.854","2.227","2.601","2.881","3.160","3.382","3.413","3.630","4.274","4.434","4.310","4.212","3.895","3.234","2.768","2.213","1.549","1.156","704"
"QUATRE CARRERES",301,18,1357,43120,31704,"76.572","2.693","3.291","3.731","4.065","3.930","4.220","4.676","4.953","5.804","6.396","6.205","5.824","4.785","4.001","3.767","3.402","2.352","1.595","882"
"RASCANYA",132,4,NA,22685,20719,"54.605","2.049","2.621","2.941","3.165","3.221","3.422","3.330","3.423","4.154","4.866","4.419","3.979","3.180","2.678","2.369","1.978","1.349","997","464"
