"","SECCIONES","RENTA_BRUTA","SALARIO"
"1","01001",25502,13287
"2","01002",24077,12867
"3","01003",27109,13290
"4","01005",27729,12176
"5","01007",38356,18485
"6","01008",32196,13395
"7","01009",46570,20344
"8","01010",18837,11198
"9","01011",18531,11488
"10","01012",18912,11904
"11","01013",20299,11349
"12","01014",18244,12308
"13","01017",21915,11529
"14","01018",NA,NA
"15","01019",18388,11311
"16","01022",21604,12018
"17","01023",21705,12119
"18","01024",19883,10720
"19","01025",23009,13112
"20","01026",24616,12665
"21","01028",29412,14370
"22","01030",39763,16740
"23","01031",42629,15551
"24","01032",32140,12844
"25","01034",26423,12432
"26","02001",27412,12970
"27","02003",25980,12403
"28","02004",22018,11954
"29","02006",21319,11364
"30","02008",22817,12083
"31","02009",21555,12441
"32","02010",21612,12754
"33","02013",20208,12376
"34","02014",27202,13931
"35","02015",19294,12058
"36","02016",24178,13364
"37","02018",22175,10459
"38","02019",19392,11276
"39","02020",20245,11944
"40","02021",21660,12337
"41","02022",19538,10394
"42","02023",21434,13203
"43","02024",20534,12841
"44","02025",18067,11374
"45","02026",20352,12472
"46","02030",17207,10133
"47","02031",19723,12271
"48","02032",18068,9353
"49","02033",42253,17298
"50","02035",46570,18854
"51","02036",46570,16031
"52","02037",39664,15017
"53","02039",38478,14749
"54","02040",46570,27165
"55","02041",42264,18495
"56","02042",27309,11602
"57","02043",36753,15532
"58","02044",26172,12502
"59","02045",36564,16054
"60","02046",36347,16054
"61","02047",37308,14301
"62","02050",27959,12451
"63","02051",29050,17098
"64","02053",27467,15338
"65","02054",27938,15679
"66","02055",32726,13733
"67","02057",29424,15599
"68","03001",22599,11850
"69","03002",23469,14064
"70","03004",18991,10787
"71","03007",22873,12284
"72","03008",20362,12061
"73","03010",17608,9585
"74","03013",23188,11048
"75","03014",NA,NA
"76","03015",25008,13515
"77","03017",20168,11493
"78","03018",20768,11783
"79","03019",22406,13765
"80","03020",24102,13425
"81","03021",18484,10825
"82","03023",24012,12382
"83","03025",20938,11633
"84","03026",20233,10714
"85","03027",22088,11450
"86","03029",20521,11274
"87","03030",22424,13176
"88","03032",15979,9332
"89","03033",24295,13397
"90","03034",30130,13386
"91","03035",23186,12344
"92","03036",23868,12034
"93","03037",22123,11580
"94","03038",27385,13270
"95","03040",23178,13247
"96","03041",20709,12549
"97","03044",24041,12035
"98","03046",19772,11174
"99","03047",21124,10461
"100","03048",25592,13220
"101","03049",21057,10848
"102","03050",23232,12234
"103","03052",20824,11152
"104","03053",19702,11760
"105","03055",29840,13129
"106","04001",21390,10622
"107","04002",13739,7663
"108","04003",18063,10213
"109","04004",16375,8368
"110","04005",22900,9911
"111","04006",20694,10022
"112","04007",18246,8867
"113","04008",17590,8049
"114","04009",13604,7287
"115","04010",18862,8991
"116","04011",13666,7265
"117","04012",10775,5609
"118","04014",12906,6709
"119","04015",12630,6783
"120","04016",11845,6536
"121","04017",18771,9332
"122","04018",23184,15470
"123","04019",27421,19581
"124","04020",20923,10354
"125","04021",20436,11478
"126","04022",17613,8100
"127","04023",15737,8237
"128","04024",24534,16948
"129","04025",19470,12941
"130","04026",23648,16270
"131","04027",22466,15980
"132","04028",24297,14731
"133","04029",NA,NA
"134","04030",NA,NA
"135","05001",18839,8477
"136","05002",12404,7211
"137","05003",11457,6144
"138","05004",13549,7279
"139","05005",13339,7538
"140","05006",15130,7412
"141","05007",15338,8472
"142","05008",16650,8691
"143","05009",11011,6012
