TIPO DE TRANSPORTE;Ciudad;Viajeros y tasas;Periodo;Total
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M12;16.904
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M11;20.307
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M10;21.132
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M09;18.295
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M08;14.118
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M07;18.316
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M06;18.255
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M05;18.915
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M04;16.483
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M03;19.346
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M02;16.159
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M01;15.818
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M12;14.974
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M11;17.387
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M10;17.939
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M09;16.159
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M08;12.268
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M07;15.744
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M06;15.907
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M05;17.259
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M04;15.155
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M03;16.698
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M02;14.153
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M01;12.695
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M12;13.883
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M11;15.949
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M10;15.808
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M09;14.105
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M08;9.550
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M07;12.961
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M06;13.880
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M05;13.163
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M04;12.177
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M03;12.984
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M02;10.587
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M01;9.649
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2020M12;11.147
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2020M11;10.930
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2020M10;12.139
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2020M09;10.913
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2020M08;7.453
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2020M07;9.979
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2020M06;7.240
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2020M05;3.251
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2020M04;1.270
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2020M03;9.162
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2020M02;19.044
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2020M01;18.572
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2019M12;17.572
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2019M11;19.025
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2019M10;20.476
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2019M09;18.571
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2019M08;13.952
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2019M07;19.917
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2019M06;19.315
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2019M05;20.844
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2019M04;18.950
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2019M03;20.049
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2019M02;18.138
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2019M01;18.675
